     6.000 0 0 1 1 0 1 1      0.093      0.905      0.002      0.000    2
     6.000 1 0 0 1 1 1 1      0.008      0.853      0.139      0.000    2
     6.000 1 1 0 1 1 1 0      0.061      0.851      0.088      0.000    2
     5.000 1 1 1 1 0 1 0      0.302      0.684      0.014      0.000    2
     5.000 0 1 0 0 0 1 1      0.116      0.884      0.000      0.000    2
     4.000 1 1 1 0 0 1 1      0.034      0.966      0.000      0.000    2
     4.000 0 0 0 1 0 1 1      0.173      0.827      0.000      0.000    2
     3.000 1 1 0 1 0 1 1      0.027      0.934      0.039      0.000    2
     3.000 0 1 0 1 1 1 0      0.113      0.879      0.008      0.000    2
     3.000 0 0 1 0 0 1 1      0.203      0.797      0.000      0.000    2
     3.000 0 0 1 0 1 1 1      0.020      0.980      0.000      0.000    2
     3.000 1 1 0 0 1 1 1      0.006      0.994      0.000      0.000    2
     2.000 1 0 1 0 0 1 1      0.123      0.877      0.000      0.000    2
     2.000 1 1 1 1 0 0 1      0.321      0.639      0.040      0.000    2
     2.000 0 0 1 1 1 1 0      0.200      0.795      0.005      0.000    2
     2.000 0 0 0 0 1 1 1      0.040      0.960      0.000      0.000    2
     2.000 0 0 0 1 1 0 1      0.369      0.630      0.001      0.000    2
     2.000 1 0 1 0 1 1 1      0.011      0.989      0.000      0.000    2
     2.000 0 1 0 0 1 1 0      0.243      0.757      0.000      0.000    2
     1.000 1 0 0 1 1 0 1      0.241      0.743      0.016      0.000    2
     1.000 1 0 1 1 0 1 1      0.052      0.919      0.029      0.000    2
     1.000 1 1 0 1 0 1 0      0.474      0.525      0.001      0.000    2
     1.000 1 0 1 0 1 1 0      0.258      0.742      0.000      0.000    2
     1.000 0 0 1 1 1 0 1      0.219      0.765      0.015      0.000    2
     1.000 1 1 0 0 1 0 1      0.168      0.832      0.000      0.000    2
     1.000 0 1 0 1 1 0 1      0.125      0.852      0.023      0.000    2
     1.000 0 1 1 1 0 0 1      0.474      0.523      0.003      0.000    2
     1.000 1 1 1 0 1 1 0      0.080      0.920      0.000      0.000    2
     1.000 0 1 1 0 1 0 1      0.152      0.848      0.000      0.000    2
   889.000 1 1 1 1 1 1 1      0.000      0.037      0.963      0.000    3
   271.000 0 1 1 1 1 1 1      0.001      0.317      0.682      0.000    3
    45.000 1 1 0 1 1 1 1      0.001      0.297      0.702      0.000    3
    16.000 1 0 1 1 1 1 1      0.002      0.358      0.640      0.000    3
     8.000 1 1 1 1 1 1 0      0.016      0.460      0.524      0.000    3
     7.000 1 1 1 1 1 0 1      0.009      0.219      0.773      0.000    3
     9.000 2 2 2 2 2 2 2      0.000      0.000      0.000      1.000    4
