    -0.756     1.009     0.781    -1.562    -0.936     0.001     0.084     0.916     0.000     0.000     0.000     3.000
    -0.537     0.473    -2.658    -0.227    -1.221     0.520     0.477     0.003     0.000     0.000     0.000     1.000
    -2.509     0.205    -0.542     0.515    -1.506     0.030     0.968     0.002     0.000     0.000     0.000     2.000
    -0.099    -2.408     0.781    -1.117     1.632     0.001     0.001     0.992     0.006     0.000     0.000     3.000
    -0.099     0.272    -0.806     1.109     0.206     0.051     0.945     0.004     0.000     0.000     0.000     2.000
    -0.099    -0.264     0.516    -0.227    -1.506     0.196     0.344     0.460     0.000     0.001     0.000     3.000
    -0.318     0.607     0.516     0.664    -0.936     0.023     0.948     0.030     0.000     0.000     0.000     2.000
     0.558     1.411     1.310    -1.414     0.776     0.000     0.018     0.910     0.062     0.009     0.000     3.000
    -0.756     0.674    -1.600     1.702     0.491     0.014     0.986     0.000     0.000     0.000     0.000     2.000
    -1.852     0.473    -0.542     1.109    -1.791     0.041     0.959     0.000     0.000     0.000     0.000     2.000
    -1.194     1.076    -0.013     0.812     0.776     0.001     0.994     0.005     0.000     0.000     0.000     2.000
    -0.537    -0.264     0.252    -2.007    -0.936     0.003     0.007     0.991     0.000     0.000     0.000     3.000
     0.558     0.473     1.574    -2.452     0.776     0.000     0.000     0.983     0.015     0.001     0.000     3.000
    -0.099     0.339     0.516    -0.375    -0.650     0.023     0.433     0.543     0.000     0.001     0.000     3.000
     0.120     1.076    -1.864     1.702    -1.506     0.180     0.820     0.000     0.000     0.000     0.000     2.000
     0.996    -2.073    -0.542    -3.046     0.491     0.001     0.000     0.999     0.000     0.000     0.000     3.000
    -1.194    -0.063    -4.510     0.515     0.206     0.616     0.384     0.000     0.000     0.000     0.000     1.000
    -0.099     0.339    -0.013    -1.117    -0.365     0.011     0.139     0.850     0.000     0.001     0.000     3.000
     0.120    -2.073     0.252    -0.672     0.206     0.073     0.009     0.918     0.000     0.001     0.000     3.000
    -0.099     0.339    -1.335     0.070    -0.365     0.168     0.804     0.028     0.000     0.000     0.000     2.000
     1.653     0.272     0.516     0.367    -0.936     0.146     0.288     0.191     0.000     0.376     0.000     5.000
     0.120    -0.130    -0.542     0.812    -0.936     0.362     0.625     0.013     0.000     0.000     0.000     2.000
    -0.318    -0.800    -0.277    -0.227    -0.650     0.350     0.299     0.351     0.000     0.000     0.000     3.000
     1.215     1.277    -0.806     0.812     1.062     0.008     0.935     0.012     0.000     0.045     0.000     2.000
     0.339    -0.197    -0.277     0.960    -1.221     0.468     0.519     0.012     0.000     0.001     0.000     2.000
     0.339     0.540    -0.013    -0.969    -0.936     0.033     0.213     0.751     0.000     0.003     0.000     3.000
     1.215    -0.465    -1.335    -0.969    -0.080     0.362     0.068     0.533     0.000     0.037     0.000     3.000
     0.120    -0.063    -0.013    -1.414     0.491     0.002     0.023     0.974     0.000     0.001     0.000     3.000
     0.996    -0.733    -0.277     0.515    -0.650     0.711     0.198     0.078     0.000     0.012     0.000     1.000
    -0.975     1.411    -0.277    -0.078    -1.221     0.007     0.978     0.016     0.000     0.000     0.000     2.000
     0.996     0.272    -0.542     0.367    -1.221     0.472     0.477     0.041     0.000     0.010     0.000     2.000
    -0.975     0.674    -0.013     0.218    -0.650     0.013     0.956     0.031     0.000     0.000     0.000     2.000
    -1.194     0.674    -0.542     0.515     1.062     0.002     0.987     0.011     0.000     0.000     0.000     2.000
    -0.537    -2.810    -0.013     0.664    -2.077     0.994     0.003     0.003     0.000     0.000     0.000     1.000
    -0.756     0.071    -0.806     1.702    -0.936     0.123     0.877     0.000     0.000     0.000     0.000     2.000
    -0.099     0.674    -0.806     0.218    -0.080     0.036     0.934     0.030     0.000     0.000     0.000     2.000
     0.120     1.344    -0.806     0.664    -0.080     0.009     0.986     0.004     0.000     0.000     0.000     2.000
    -0.537     0.071     0.516    -0.820    -0.650     0.012     0.179     0.808     0.000     0.000     0.000     3.000
    -0.756     0.339    -0.806     1.257     1.632     0.004     0.993     0.003     0.000     0.000     0.000     2.000
     1.434     0.272     1.574    -0.672     0.491     0.000     0.010     0.749     0.075     0.166     0.000     3.000
     1.215     0.205     2.103    -1.265    -0.936     0.000     0.002     0.970     0.002     0.026     0.000     3.000
    -0.318     0.339    -0.013     0.664    -0.365     0.035     0.938     0.027     0.000     0.000     0.000     2.000
     0.339    -1.269     1.574    -1.562     1.632     0.000     0.000     0.920     0.079     0.001     0.000     3.000
     2.748     0.406    -0.277     0.515     1.062     0.001     0.006     0.005     0.001     0.987     0.000     5.000
    -0.756    -0.331    -0.542     0.515    -0.080     0.111     0.852     0.037     0.000     0.000     0.000     2.000
    -0.099     0.339    -1.071     1.702    -0.080     0.068     0.932     0.000     0.000     0.000     0.000     2.000
    -0.537     0.205     0.252     0.515     0.206     0.014     0.915     0.071     0.000     0.000     0.000     2.000
     1.215     0.004     0.516    -1.414     0.491     0.001     0.005     0.956     0.003     0.036     0.000     3.000
     1.653     0.071    -0.013    -0.672     0.206     0.019     0.042     0.605     0.001     0.333     0.000     3.000
    -0.537    -1.135    -2.129     0.664    -2.647     0.991     0.009     0.000     0.000     0.000     0.000     1.000
     1.653    -1.604    -2.129     0.515    -2.077     0.999     0.001     0.000     0.000     0.000     0.000     1.000
    -0.756     0.071    -0.013     0.070    -0.080     0.029     0.825     0.147     0.000     0.000     0.000     2.000
     0.120    -1.135    -0.542    -0.078    -2.933     0.982     0.012     0.006     0.000     0.000     0.000     1.000
    -0.756     0.339     0.781    -0.969    -1.221     0.008     0.183     0.809     0.000     0.000     0.000     3.000
    -0.099    -0.666     0.516    -0.969    -1.221     0.049     0.040     0.910     0.000     0.000     0.000     3.000
     0.558    -2.140     0.252    -0.969    -0.080     0.064     0.003     0.932     0.000     0.001     0.000     3.000
     2.748    -1.269    -1.864    -1.117    -1.791     0.932     0.000     0.013     0.000     0.055     0.000     1.000
    -0.537    -0.197    -0.013    -0.078     0.776     0.017     0.585     0.397     0.001     0.000     0.000     2.000
    -0.099    -0.264    -1.071     0.070    -0.080     0.283     0.634     0.082     0.000     0.000     0.000     2.000
     0.339     0.875    -0.542     0.812    -0.080     0.025     0.965     0.009     0.000     0.001     0.000     2.000
    -0.975    -0.197    -0.542     0.664     0.206     0.047     0.933     0.020     0.000     0.000     0.000     2.000
    -0.099    -0.733     1.045    -1.414    -0.365     0.001     0.004     0.994     0.000     0.000     0.000     3.000
    -1.413     1.210    -1.071     0.070    -0.936     0.010     0.986     0.004     0.000     0.000     0.000     2.000
     0.777    -0.599    -0.277    -1.710    -2.362     0.258     0.008     0.732     0.000     0.002     0.000     3.000
    -1.194     1.411    -0.277     1.702    -0.080     0.001     0.999     0.000     0.000     0.000     0.000     2.000
     0.777    -1.872    -1.864     1.702     0.491     0.970     0.029     0.000     0.000     0.000     0.000     1.000
     0.777     0.674     3.161    -1.117     2.203     0.000     0.000     0.005     0.995     0.000     0.000     4.000
     0.558    -0.934     0.252    -1.710     0.206     0.002     0.002     0.995     0.000     0.001     0.000     3.000
    -1.194    -1.068     0.252    -0.820    -0.936     0.083     0.104     0.813     0.000     0.000     0.000     3.000
    -0.099     0.004     0.252     0.367    -0.365     0.067     0.787     0.145     0.000     0.001     0.000     2.000
    -0.975     0.607     1.045     0.515     0.491     0.001     0.912     0.086     0.001     0.000     0.000     2.000
    -0.537    -0.599     0.252    -0.672    -0.365     0.038     0.139     0.823     0.000     0.000     0.000     3.000
     0.558    -0.130     1.045    -0.969     1.918     0.000     0.005     0.672     0.317     0.006     0.000     3.000
