     0.339    -1.604     1.574    -0.820     0.491     0.001     0.002     0.997     0.001     3.000
    -0.537     0.205     0.252    -0.523    -0.650     0.019     0.456     0.525     0.000     3.000
    -0.756     1.009     0.781    -1.562    -0.936     0.001     0.092     0.908     0.000     3.000
    -0.537     0.473    -2.658    -0.227    -1.221     0.606     0.392     0.002     0.000     1.000
    -2.509     0.205    -0.542     0.515    -1.506     0.055     0.941     0.004     0.000     2.000
    -0.099    -2.408     0.781    -1.117     1.632     0.001     0.001     0.997     0.002     3.000
    -0.099     0.272    -0.806     1.109     0.206     0.043     0.951     0.007     0.000     2.000
    -0.099    -0.264     0.516    -0.227    -1.506     0.111     0.387     0.502     0.000     3.000
    -0.318     0.607     0.516     0.664    -0.936     0.014     0.943     0.043     0.000     2.000
     0.558     1.411     1.310    -1.414     0.776     0.000     0.023     0.973     0.004     3.000
    -0.756     0.674    -1.600     1.702     0.491     0.019     0.981     0.000     0.000     2.000
    -1.852     0.473    -0.542     1.109    -1.791     0.058     0.941     0.001     0.000     2.000
    -1.194     1.076    -0.013     0.812     0.776     0.001     0.990     0.009     0.000     2.000
    -0.537    -0.264     0.252    -2.007    -0.936     0.003     0.011     0.987     0.000     3.000
     0.558     0.473     1.574    -2.452     0.776     0.000     0.000     0.999     0.001     3.000
    -0.099     0.339     0.516    -0.375    -0.650     0.012     0.434     0.554     0.000     3.000
     0.120     1.076    -1.864     1.702    -1.506     0.173     0.827     0.000     0.000     2.000
     0.996    -2.073    -0.542    -3.046     0.491     0.001     0.000     0.999     0.000     3.000
    -1.194    -0.063    -4.510     0.515     0.206     0.837     0.163     0.000     0.000     1.000
    -0.099     0.339    -0.013    -1.117    -0.365     0.008     0.166     0.826     0.000     3.000
     0.120    -2.073     0.252    -0.672     0.206     0.054     0.014     0.932     0.000     3.000
    -0.099     0.339    -1.335     0.070    -0.365     0.153     0.816     0.031     0.000     2.000
     1.653     0.272     0.516     0.367    -0.936     0.077     0.573     0.350     0.000     2.000
     0.120    -0.130    -0.542     0.812    -0.936     0.267     0.715     0.019     0.000     2.000
    -0.318    -0.800    -0.277    -0.227    -0.650     0.279     0.347     0.374     0.000     3.000
     1.215     1.277    -0.806     0.812     1.062     0.005     0.980     0.015     0.000     2.000
     0.339    -0.197    -0.277     0.960    -1.221     0.322     0.659     0.019     0.000     2.000
     0.339     0.540    -0.013    -0.969    -0.936     0.020     0.256     0.724     0.000     3.000
     1.215    -0.465    -1.335    -0.969    -0.080     0.318     0.123     0.559     0.000     3.000
     0.120    -0.063    -0.013    -1.414     0.491     0.002     0.032     0.966     0.000     3.000
     0.996    -0.733    -0.277     0.515    -0.650     0.518     0.355     0.127     0.000     1.000
    -0.975     1.411    -0.277    -0.078    -1.221     0.007     0.971     0.022     0.000     2.000
     0.996     0.272    -0.542     0.367    -1.221     0.289     0.657     0.055     0.000     2.000
    -0.975     0.674    -0.013     0.218    -0.650     0.012     0.944     0.044     0.000     2.000
    -1.194     0.674    -0.542     0.515     1.062     0.003     0.979     0.018     0.000     2.000
    -0.537    -2.810    -0.013     0.664    -2.077     0.990     0.005     0.005     0.000     1.000
    -0.756     0.071    -0.806     1.702    -0.936     0.126     0.873     0.001     0.000     2.000
    -0.099     0.674    -0.806     0.218    -0.080     0.030     0.934     0.036     0.000     2.000
     0.120     1.344    -0.806     0.664    -0.080     0.007     0.987     0.006     0.000     2.000
    -0.537     0.071     0.516    -0.820    -0.650     0.008     0.190     0.802     0.000     3.000
    -0.756     0.339    -0.806     1.257     1.632     0.004     0.991     0.005     0.000     2.000
     1.434     0.272     1.574    -0.672     0.491     0.000     0.017     0.977     0.006     3.000
     1.215     0.205     2.103    -1.265    -0.936     0.000     0.003     0.996     0.000     3.000
    -0.318     0.339    -0.013     0.664    -0.365     0.025     0.938     0.037     0.000     2.000
     0.339    -1.269     1.574    -1.562     1.632     0.000     0.000     0.984     0.015     3.000
     2.748     0.406    -0.277     0.515     1.062     0.033     0.601     0.360     0.006     2.000
    -0.756    -0.331    -0.542     0.515    -0.080     0.106     0.847     0.047     0.000     2.000
    -0.099     0.339    -1.071     1.702    -0.080     0.061     0.938     0.001     0.000     2.000
    -0.537     0.205     0.252     0.515     0.206     0.011     0.894     0.095     0.000     2.000
     1.215     0.004     0.516    -1.414     0.491     0.000     0.008     0.991     0.000     3.000
     1.653     0.071    -0.013    -0.672     0.206     0.013     0.094     0.893     0.000     3.000
    -0.537    -1.135    -2.129     0.664    -2.647     0.992     0.008     0.000     0.000     1.000
     1.653    -1.604    -2.129     0.515    -2.077     0.999     0.001     0.000     0.000     1.000
    -0.756     0.071    -0.013     0.070    -0.080     0.024     0.802     0.175     0.000     2.000
     0.120    -1.135    -0.542    -0.078    -2.933     0.969     0.022     0.009     0.000     1.000
    -0.756     0.339     0.781    -0.969    -1.221     0.005     0.188     0.806     0.000     3.000
    -0.099    -0.666     0.516    -0.969    -1.221     0.032     0.054     0.914     0.000     3.000
     0.558    -2.140     0.252    -0.969    -0.080     0.045     0.005     0.950     0.000     3.000
     2.748    -1.269    -1.864    -1.117    -1.791     0.979     0.001     0.020     0.000     1.000
    -0.537    -0.197    -0.013    -0.078     0.776     0.013     0.565     0.422     0.000     2.000
    -0.099    -0.264    -1.071     0.070    -0.080     0.246     0.668     0.087     0.000     2.000
     0.339     0.875    -0.542     0.812    -0.080     0.017     0.971     0.012     0.000     2.000
    -0.975    -0.197    -0.542     0.664     0.206     0.051     0.921     0.028     0.000     2.000
