     0.996    -2.073    -0.542    -3.046     0.491     1.000     0.000     0.000     1.000
    -1.194    -0.063    -4.510     0.515     0.206     0.999     0.000     0.001     1.000
    -0.099     0.339    -0.013    -1.117    -0.365     0.086     0.854     0.059     2.000
     0.120    -2.073     0.252    -0.672     0.206     0.212     0.765     0.023     2.000
    -0.099     0.339    -1.335     0.070    -0.365     0.065     0.000     0.935     3.000
     1.653     0.272     0.516     0.367    -0.936     0.628     0.005     0.368     1.000
     0.120    -0.130    -0.542     0.812    -0.936     0.040     0.000     0.960     3.000
    -0.318    -0.800    -0.277    -0.227    -0.650     0.162     0.145     0.694     3.000
     1.215     1.277    -0.806     0.812     1.062     0.162     0.000     0.838     3.000
     0.339    -0.197    -0.277     0.960    -1.221     0.070     0.000     0.930     3.000
     0.339     0.540    -0.013    -0.969    -0.936     0.215     0.653     0.132     2.000
     1.215    -0.465    -1.335    -0.969    -0.080     0.946     0.001     0.054     1.000
     0.120    -0.063    -0.013    -1.414     0.491     0.122     0.869     0.010     2.000
     0.996    -0.733    -0.277     0.515    -0.650     0.269     0.002     0.729     3.000
    -0.975     1.411    -0.277    -0.078    -1.221     0.020     0.016     0.963     3.000
     0.996     0.272    -0.542     0.367    -1.221     0.198     0.001     0.801     3.000
    -0.975     0.674    -0.013     0.218    -0.650     0.016     0.018     0.966     3.000
    -1.194     0.674    -0.542     0.515     1.062     0.022     0.001     0.977     3.000
    -0.537    -2.810    -0.013     0.664    -2.077     0.780     0.001     0.218     1.000
    -0.756     0.071    -0.806     1.702    -0.936     0.012     0.000     0.988     3.000
    -0.099     0.674    -0.806     0.218    -0.080     0.027     0.002     0.971     3.000
     0.120     1.344    -0.806     0.664    -0.080     0.012     0.000     0.988     3.000
    -0.537     0.071     0.516    -0.820    -0.650     0.050     0.893     0.056     2.000
    -0.756     0.339    -0.806     1.257     1.632     0.069     0.000     0.931     3.000
     1.434     0.272     1.574    -0.672     0.491     0.885     0.109     0.006     1.000
     1.215     0.205     2.103    -1.265    -0.936     0.988     0.012     0.000     1.000
    -0.318     0.339    -0.013     0.664    -0.365     0.019     0.003     0.978     3.000
     0.339    -1.269     1.574    -1.562     1.632     0.698     0.302     0.000     1.000
     2.748     0.406    -0.277     0.515     1.062     0.958     0.000     0.042     1.000
    -0.756    -0.331    -0.542     0.515    -0.080     0.023     0.001     0.976     3.000
