     1.215     0.607     0.252     1.702    -0.365     0.008     0.992     2.000
     0.777    -1.202     1.045    -0.820     1.062     0.989     0.011     1.000
     2.967    -0.733    -0.806    -0.227    -0.365     0.629     0.371     1.000
    -0.318     0.004    -0.542    -0.078     1.062     0.296     0.704     2.000
     0.120     1.814    -0.277     0.367     0.491     0.066     0.934     2.000
    -0.099    -0.197    -0.806     1.109    -0.080     0.007     0.993     2.000
     0.339    -1.604    -0.542     1.702    -0.650     0.004     0.996     2.000
    -0.975     0.741     0.252    -0.672    -0.080     0.599     0.401     1.000
     0.339    -1.403     2.103    -1.562     1.632     1.000     0.000     1.000
    -0.318     0.339    -0.542     0.367    -0.650     0.037     0.963     2.000
    -0.537    -0.197    -0.806    -0.672     0.491     0.501     0.499     1.000
     0.120    -1.001     0.516    -0.820     0.491     0.949     0.051     1.000
    -0.975    -0.264     1.045    -1.117    -0.365     0.951     0.049     1.000
    -0.537    -2.408    -1.335    -0.523    -0.650     0.314     0.686     2.000
     0.777     0.272     1.045    -1.562     0.776     0.996     0.004     1.000
     1.653    -0.465     1.045     0.070     0.776     0.884     0.116     1.000
    -0.318    -0.264     0.252    -2.155     0.491     0.996     0.004     1.000
     0.339    -0.934     0.252    -0.672     0.491     0.906     0.094     1.000
     0.120     2.283    -0.542     0.960     1.347     0.013     0.987     2.000
     0.777    -2.676    -0.277     0.070     0.491     0.646     0.354     1.000
    -0.537    -0.666     0.252     1.702    -0.365     0.005     0.995     2.000
    -0.537    -0.934     0.781    -1.710     0.491     0.995     0.005     1.000
    -0.537     0.138     0.516     1.257    -0.650     0.014     0.986     2.000
    -0.975    -0.532     0.781     1.109    -0.365     0.036     0.964     2.000
     0.558    -0.130     0.781    -0.078    -0.365     0.648     0.352     1.000
     0.339    -2.006    -0.277     1.257     0.491     0.040     0.960     2.000
    -0.099    -0.130    -0.277     0.515    -0.650     0.049     0.951     2.000
    -0.537    -0.063     0.252    -1.710    -0.080     0.979     0.021     1.000
     0.558     0.674    -0.013    -0.523     0.491     0.710     0.290     1.000
    -1.194    -1.403    -1.864     1.257    -0.365     0.001     0.999     2.000
    -0.537     1.277    -0.277     0.070     0.491     0.122     0.878     2.000
    -0.756    -0.398     1.045     0.812    -0.936     0.082     0.918     2.000
    -1.194     0.674     0.781    -0.672     1.632     0.886     0.114     1.000
     0.558    -1.470    -0.806     1.702    -1.506     0.002     0.998     2.000
     0.339    -0.398    -0.542     0.070    -0.365     0.172     0.828     2.000
    -0.537     0.875    -0.542    -0.078    -0.080     0.111     0.889     2.000
     1.872    -0.063     1.310    -0.227     2.203     0.982     0.018     1.000
    -0.756    -0.398    -0.277     0.515    -0.080     0.054     0.946     2.000
     0.558     0.138    -0.013     0.664    -0.365     0.070     0.930     2.000
     1.653    -0.465     1.574    -1.562    -0.650     0.998     0.002     1.000
    -0.318    -1.202    -0.806     1.257    -1.221     0.003     0.997     2.000
    -0.537     0.942     0.516     0.367    -0.936     0.082     0.918     2.000
    -0.318     0.875    -0.013     1.405     0.206     0.006     0.994     2.000
    -0.537    -0.197    -0.806    -3.046    -0.936     0.996     0.004     1.000
     0.558     0.272     0.516     0.812    -1.221     0.054     0.946     2.000
    -0.099     0.205    -0.277    -0.672     0.776     0.722     0.278     1.000
     0.339     0.473     0.516     0.515     1.062     0.291     0.709     2.000
    -0.099    -0.197     0.516     0.218    -0.936     0.225     0.775     2.000
    -0.318    -0.331    -0.542    -0.375    -0.365     0.316     0.684     2.000
    -0.537     1.612    -0.542     1.554    -0.365     0.001     0.999     2.000
     3.624     1.545    -0.013     0.812     0.491     0.203     0.797     2.000
     0.339    -0.130     0.252    -0.672     0.491     0.869     0.131     1.000
    -0.756    -0.130     0.252    -0.672     0.491     0.781     0.219     1.000
     0.558    -0.733     0.516    -0.820    -1.221     0.883     0.117     1.000
     0.120     0.741     1.310    -0.672     0.206     0.932     0.068     1.000
     0.339    -1.805    -0.542    -0.672    -1.506     0.596     0.404     1.000
     1.653    -0.264    -0.013     0.960    -1.221     0.043     0.957     2.000
    -0.318    -1.269     1.045    -0.672     0.776     0.964     0.036     1.000
     0.339     1.411     0.516    -0.375     1.347     0.779     0.221     1.000
    -0.975     0.406     1.045    -0.375     0.776     0.792     0.208     1.000
     0.339     0.004    -1.071     0.664    -0.365     0.017     0.983     2.000
    -2.290     1.881    -0.277     0.960     0.491     0.003     0.997     2.000
     0.558    -1.001    -0.013    -1.265     0.206     0.971     0.029     1.000
     2.529     1.076     1.045    -0.672     1.062     0.982     0.018     1.000
    -0.099     0.406     0.252    -0.672     0.491     0.802     0.198     1.000
     2.310    -0.532     0.252    -0.672     0.491     0.961     0.039     1.000
     0.339     1.143    -1.071     1.702    -1.221     0.000     1.000     2.000
    -0.318    -0.465    -0.806    -0.523     1.062     0.549     0.451     1.000
    -2.071     2.015    -0.277     1.702    -0.080     0.000     1.000     2.000
    -2.071     1.814     0.781     1.405     0.776     0.006     0.994     2.000
     1.434    -0.331    -1.335    -0.672     0.491     0.618     0.382     1.000
    -0.099     0.004     1.045    -1.117     0.491     0.979     0.021     1.000
    -0.756     0.674    -0.277     0.960    -0.650     0.007     0.993     2.000
    -2.071     0.406    -2.393     0.515    -0.080     0.001     0.999     2.000
    -0.537     0.674    -1.600     0.812     0.491     0.004     0.996     2.000
     0.558    -0.264     2.368     0.515     1.347     0.904     0.096     1.000
     0.120    -0.331    -1.071    -0.969    -0.080     0.632     0.368     1.000
     0.120    -1.135    -0.542     0.515    -0.365     0.072     0.928     2.000
     1.872    -1.135    -0.806     0.218    -0.936     0.188     0.812     2.000
     0.777     0.339     0.516     1.702     0.776     0.019     0.981     2.000
     3.405    -0.867     1.045    -0.672    -0.365     0.989     0.011     1.000
     0.339    -0.130     0.252     0.367     1.062     0.362     0.638     2.000
    -0.318    -0.130    -0.013     0.812    -0.650     0.028     0.972     2.000
    -0.318    -1.537     0.781     0.367     1.347     0.644     0.356     1.000
     0.996    -0.666     1.574     0.367    -0.365     0.725     0.275     1.000
     1.434    -1.872    -0.013    -1.265     0.776     0.991     0.009     1.000
    -1.413     0.808    -0.013    -0.078    -0.080     0.137     0.863     2.000
    -1.632     1.545    -0.806     1.109    -0.080     0.001     0.999     2.000
     0.120     0.473    -0.806     1.257    -0.080     0.004     0.996     2.000
    -1.194     1.680     0.252     0.664    -1.221     0.011     0.989     2.000
    -0.318     0.272     1.045    -0.672     0.776     0.929     0.071     1.000
    -0.537     0.942     0.781     1.702     0.491     0.008     0.992     2.000
    -1.413     0.406    -0.277     1.405    -0.650     0.002     0.998     2.000
     0.996    -0.532     0.516     1.109     0.206     0.102     0.898     2.000
    -0.318     0.406    -0.277     1.554    -0.650     0.002     0.998     2.000
     0.777    -1.068     0.516    -0.672    -0.936     0.888     0.112     1.000
    -0.756     1.545    -0.277     0.664     0.776     0.025     0.975     2.000
    -0.099     0.205    -0.806     0.515     0.491     0.041     0.959     2.000
     0.120    -0.934    -2.393     1.109    -0.080     0.001     0.999     2.000
    -0.537     1.948     0.252     0.515    -0.936     0.026     0.974     2.000
    -1.194     0.607    -0.277    -0.375    -0.080     0.235     0.765     2.000
    -0.537     1.076    -0.806    -0.078    -0.080     0.074     0.926     2.000
     1.434    -0.331     1.045    -0.227     0.206     0.909     0.091     1.000
    -0.975     1.009     0.516    -0.672     0.491     0.727     0.273     1.000
     0.339    -0.532    -1.335     0.218    -1.791     0.021     0.979     2.000
    -0.537    -0.063     1.574    -0.523     1.062     0.956     0.044     1.000
    -0.099     0.473    -2.129     0.664    -0.080     0.003     0.997     2.000
    -0.975     0.138     1.045    -1.710     1.062     0.995     0.005     1.000
