     0.777    -1.202     1.045    -0.820     1.062     0.984     0.001     0.003     0.008     0.004     1.000
     2.967    -0.733    -0.806    -0.227    -0.365     0.017     0.078     0.002     0.903     0.000     4.000
    -0.318     0.004    -0.542    -0.078     1.062     0.251     0.025     0.724     0.000     0.000     3.000
     0.120     1.814    -0.277     0.367     0.491     0.014     0.001     0.984     0.001     0.000     3.000
    -0.099    -0.197    -0.806     1.109    -0.080     0.008     0.190     0.802     0.000     0.000     3.000
     0.339    -1.604    -0.542     1.702    -0.650     0.002     0.920     0.079     0.000     0.000     2.000
    -0.975     0.741     0.252    -0.672    -0.080     0.386     0.003     0.610     0.000     0.000     3.000
     0.339    -1.403     2.103    -1.562     1.632     0.958     0.000     0.000     0.000     0.041     1.000
    -0.318     0.339    -0.542     0.367    -0.650     0.029     0.085     0.886     0.000     0.000     3.000
    -0.537    -0.197    -0.806    -0.672     0.491     0.490     0.055     0.455     0.000     0.000     1.000
     0.120    -1.001     0.516    -0.820     0.491     0.971     0.008     0.019     0.001     0.000     1.000
    -0.975    -0.264     1.045    -1.117    -0.365     0.954     0.002     0.044     0.000     0.000     1.000
    -0.537    -2.408    -1.335    -0.523    -0.650     0.043     0.948     0.009     0.000     0.000     2.000
     0.777     0.272     1.045    -1.562     0.776     0.987     0.000     0.004     0.008     0.001     1.000
     1.653    -0.465     1.045     0.070     0.776     0.515     0.007     0.028     0.435     0.015     1.000
    -0.318    -0.264     0.252    -2.155     0.491     0.997     0.000     0.003     0.000     0.000     1.000
     0.339    -0.934     0.252    -0.672     0.491     0.940     0.022     0.036     0.003     0.000     1.000
     0.120     2.283    -0.542     0.960     1.347     0.001     0.000     0.998     0.000     0.000     3.000
     0.777    -2.676    -0.277     0.070     0.491     0.275     0.712     0.010     0.003     0.000     2.000
    -0.537    -0.666     0.252     1.702    -0.365     0.007     0.143     0.849     0.000     0.000     3.000
    -0.537    -0.934     0.781    -1.710     0.491     0.997     0.000     0.002     0.000     0.000     1.000
    -0.537     0.138     0.516     1.257    -0.650     0.012     0.031     0.958     0.000     0.000     3.000
    -0.975    -0.532     0.781     1.109    -0.365     0.045     0.047     0.908     0.000     0.000     3.000
