         *         *         *    44.540    38.750    44.310    37.999     1.255    37.990     1.257     0.002     0.998     2.000
    55.550    55.450    63.010    64.360    64.230    68.360    55.295     2.556    55.673     2.466     0.861     0.139     1.000
         *         *         *    42.620    51.360    46.670    40.824     1.912    40.807     1.915     0.005     0.995     2.000
    27.750    31.030    43.010    36.300         *         *    33.125     2.176    33.125     2.176     0.000     1.000     2.000
    44.500         *         *         *         *         *    45.345     2.796    44.855     2.763     0.096     0.904     2.000
    62.340    55.620    64.850    70.680    74.120    85.510    56.456     4.599    56.444     4.605     0.793     0.207     1.000
         *         *         *    63.280    67.680    68.060    55.503     2.773    56.928     2.494     0.760     0.240     1.000
         *         *         *    59.720         *    62.120    50.607     2.536    47.913     3.026     0.409     0.591     2.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.743     2.749    52.234     2.656     0.761     0.239     1.000
    57.310         *    62.030    61.080         *         *    55.845     2.308    56.670     2.081     0.758     0.242     1.000
    37.830         *         *         *         *         *    40.868     2.672    40.762     2.659     0.022     0.978     2.000
    35.810         *         *         *         *         *    39.588     2.637    39.523     2.628     0.013     0.987     2.000
    34.660    35.730    41.630    50.260         *         *    37.813     2.850    37.814     2.849     0.002     0.998     2.000
         *         *         *    64.130    64.840    64.130    55.456     2.262    57.583     1.834     0.707     0.293     1.000
    51.710    53.550    64.210    63.470    57.600    67.220    51.236     2.806    50.978     2.877     0.070     0.930     2.000
         *         *         *    52.270    48.270    53.430    42.912     2.060    42.713     2.109     0.035     0.965     2.000
         *         *         *    63.380    66.600    63.690    55.426     2.407    57.595     1.989     0.692     0.308     1.000
    63.540    66.070    70.580    67.280    74.980         *    62.642     2.808    62.746     2.782     0.969     0.031     1.000
    43.590    53.990         *         *    62.400         *    47.835     3.417    47.163     3.513     0.225     0.775     2.000
         *         *         *    52.260         *         *    45.082     2.592    44.711     2.673     0.080     0.920     2.000
         *         *         *    74.330    79.780    81.010    63.869     3.643    64.143     3.594     0.960     0.040     1.000
         *         *         *    48.520    43.630    39.610    40.092     1.108    40.029     1.122     0.008     0.992     2.000
    64.470    69.870    74.240    67.960    78.470         *    64.736     2.998    65.058     2.919     0.919     0.081     1.000
         *         *         *    60.710    65.230    65.940    53.214     2.739    55.159     2.350     0.648     0.352     1.000
    50.430    53.700    57.840    51.850         *         *    49.352     2.337    48.807     2.542     0.182     0.818     2.000
         *         *         *    64.100    65.660         *    54.999     2.710    56.909     2.310     0.692     0.308     1.000
    52.490    46.480    67.950    79.240         *         *    53.086     4.940    53.086     4.940     0.000     1.000     2.000
    52.040         *         *         *         *         *    51.485     2.915    49.482     2.879     0.379     0.621     2.000
    52.410    53.450         *         *         *         *    50.943     2.847    49.978     2.922     0.384     0.616     2.000
    36.570         *    45.830         *         *         *    40.172     2.677    40.144     2.677     0.013     0.987     2.000
         *         *         *    55.340    58.820    65.100    47.647     2.966    46.637     3.204     0.263     0.737     2.000
    35.710    38.340         *    47.010    57.450    60.290    39.540     3.725    39.545     3.723     0.004     0.996     2.000
    54.290    51.440    61.970    65.460    68.930    68.790    53.008     3.614    53.475     3.582     0.640     0.360     1.000
    44.470    37.110    33.970    49.460         *         *    39.890     2.022    39.890     2.022     0.000     1.000     2.000
    48.020    47.170    60.060    55.660    52.840    55.030    47.219     2.045    47.118     2.071     0.029     0.971     2.000
    51.160         *         *         *         *         *    50.693     2.907    48.942     2.866     0.332     0.668     2.000
    45.760    48.950    57.910         *         *         *    47.391     3.222    47.068     3.196     0.162     0.838     2.000
    74.280    75.470    75.440    78.030    79.940    80.640    71.173     2.183    71.176     2.182     0.999     0.001     1.000
         *         *         *    53.140    64.650    63.140    47.676     3.301    47.486     3.336     0.057     0.943     2.000
    47.140    59.060    56.420    47.460         *         *    48.099     2.291    48.067     2.303     0.007     0.993     2.000
         *         *         *    62.770         *         *    53.008     2.911    56.147     2.439     0.513     0.487     1.000
    47.920    52.090    60.910    64.870    64.940    65.780    51.260     3.376    52.398     3.201     0.546     0.454     1.000
    44.030    51.600    62.250    61.720    66.370    61.420    49.250     3.516    48.645     3.588     0.203     0.797     2.000
         *         *         *    75.290    80.550    82.390    64.425     3.735    64.656     3.694     0.966     0.034     1.000
    44.150    45.160         *         *         *         *    44.002     2.664    43.939     2.662     0.042     0.958     2.000
         *         *         *    46.130         *    42.670    40.180     1.400    40.101     1.417     0.013     0.987     2.000
         *         *         *    64.100    70.590    68.610    56.393     2.978    58.001     2.683     0.734     0.266     1.000
         *         *         *    51.870    52.750    46.790    44.009     1.773    43.476     1.885     0.076     0.924     2.000
    70.490    75.400    76.640    77.190    82.850    88.120    69.523     3.288    69.532     3.286     0.998     0.002     1.000
    54.850    62.450    65.170    64.960    69.150    71.100    58.192     2.693    58.384     2.649     0.947     0.053     1.000
         *         *         *    60.110    56.750    61.570    48.802     2.486    47.159     2.860     0.251     0.749     2.000
    48.510    49.090    60.280    53.710    58.790         *    48.123     2.746    47.856     2.816     0.112     0.888     2.000
    58.500    69.760         *    68.050         *         *    61.799     2.563    62.615     2.376     0.838     0.162     1.000
    43.270         *         *         *         *         *    44.474     2.773    44.101     2.744     0.074     0.926     2.000
    64.050    62.040    75.760    74.650         *         *    62.830     3.860    63.124     3.829     0.897     0.103     1.000
         *         *         *    60.370    70.170    67.890    52.753     3.442    50.889     3.770     0.388     0.612     2.000
    58.430    64.380    61.420    59.240    66.240         *    57.746     1.940    58.587     1.687     0.772     0.228     1.000
    41.750         *         *         *         *         *    43.433     2.743    43.168     2.720     0.053     0.947     2.000
         *         *         *    54.930    55.080    55.170    46.602     2.144    45.177     2.456     0.233     0.767     2.000
         *         *         *    55.550    66.970    68.540    49.235     3.670    48.899     3.732     0.116     0.884     2.000
    50.540    46.310    56.010    52.080    61.460         *    47.488     2.976    47.454     2.980     0.073     0.927     2.000
         *         *         *    46.800    39.000    33.020    38.161     0.554    38.154     0.556     0.001     0.999     2.000
         *         *         *    52.540    66.320    72.240    48.146     3.960    48.135     3.962     0.013     0.987     2.000
         *         *         *    54.270    63.190         *    47.882     3.234    47.436     3.322     0.126     0.874     2.000
         *         *         *    82.020         *         *    67.969     3.919    68.631     3.858     0.932     0.068     1.000
         *         *         *    64.640    68.590    68.710    56.633     2.737    57.868     2.497     0.803     0.197     1.000
    48.910    50.450    54.220    68.420    67.320    62.000    49.658     3.572    49.622     3.570     0.026     0.974     2.000
    66.490    76.290    76.360         *    81.330         *    69.513     3.027    69.562     3.016     0.991     0.009     1.000
         *         *         *    41.330    39.360    48.160    37.505     1.547    37.501     1.548     0.001     0.999     2.000
    49.260         *         *         *         *         *    49.046     2.882    47.776     2.836     0.243     0.757     2.000
    50.640         *         *         *    58.570    79.120    49.365     3.837    49.360     3.839     0.004     0.996     2.000
    63.890    70.260    68.140    74.800    82.210         *    63.712     4.099    63.783     4.087     0.972     0.028     1.000
         *         *         *    70.100    67.120         *    57.875     2.678    60.518     2.117     0.662     0.338     1.000
         *         *         *    52.370    63.860    66.220    47.330     3.478    47.220     3.500     0.048     0.952     2.000
    56.610         *         *         *    58.410         *    52.259     1.864    50.748     2.279     0.402     0.598     2.000
    45.460    43.820    43.400    50.200    54.300         *    43.153     2.516    43.156     2.516     0.036     0.964     2.000
    44.380    46.800    56.550         *    54.980    50.660    45.460     2.099    45.325     2.125     0.041     0.959     2.000
         *         *         *    59.120    65.930    66.200    51.918     3.029    54.263     2.572     0.515     0.485     1.000
         *         *         *    70.430         *         *    59.555     3.192    61.114     3.004     0.799     0.201     1.000
    41.090    50.060    63.470         *    63.580    64.410    47.213     3.753    47.035     3.777     0.055     0.945     2.000
    65.040         *         *         *         *         *    62.620     2.758    63.075     2.730     0.919     0.081     1.000
         *         *         *    62.230    60.430    58.250    51.925     2.073    48.486     2.781     0.428     0.572     2.000
    62.860    71.400    72.100    78.000    73.450    79.320    66.348     2.459    66.510     2.420     0.969     0.031     1.000
         *         *         *    62.560         *    57.550    50.619     2.241    48.130     2.672     0.277     0.723     2.000
    35.500    31.940    30.620    28.290    36.630         *    32.895     0.834    32.895     0.834     0.000     1.000     2.000
    38.840    44.520         *         *         *         *    41.574     2.701    41.527     2.695     0.023     0.977     2.000
    44.460    46.800         *    54.310    55.970    57.110    45.149     2.639    44.811     2.705     0.187     0.813     2.000
         *         *         *    71.020         *    79.720    60.404     3.543    61.181     3.417     0.881     0.119     1.000
    44.580    44.490         *    39.620    41.560         *    40.960     0.853    40.943     0.861     0.007     0.993     2.000
    65.460    66.540    78.910         *    78.180    85.210    65.762     3.473    65.987     3.425     0.944     0.056     1.000
    49.260    58.090    58.880    59.450    58.810         *    52.557     2.047    54.280     1.561     0.585     0.415     1.000
    51.550    61.880    57.400    56.300    63.370    58.070    53.087     1.986    51.442     2.364     0.395     0.605     2.000
    47.040    50.890    64.880    66.780         *    68.650    50.523     3.907    50.146     3.926     0.148     0.852     2.000
    56.630    53.410    63.220    71.440    74.020         *    54.619     4.534    54.805     4.632     0.604     0.396     1.000
         *         *         *    49.380         *    47.920    42.306     1.801    42.067     1.849     0.039     0.961     2.000
    52.610         *    46.860         *         *         *    47.465     2.264    47.416     2.307     0.049     0.951     2.000
         *         *         *    72.680    77.540    69.930    62.845     2.855    64.746     2.525     0.785     0.215     1.000
         *         *         *    68.140    77.220         *    58.963     3.955    60.049     3.782     0.783     0.217     1.000
         *         *         *    60.340         *    62.060    51.041     2.496    48.114     3.023     0.427     0.573     2.000
    44.290    36.310    46.750         *    42.020    37.100    40.235     0.591    40.232     0.592     0.001     0.999     2.000
         *         *         *    51.220         *         *    44.489     2.538    44.217     2.600     0.061     0.939     2.000
    55.430    54.570    63.090    65.270    66.620    69.570    54.932     3.015    55.233     2.954     0.864     0.136     1.000
    50.590    60.740    59.340         *    62.520    64.970    54.258     2.249    55.553     1.948     0.686     0.314     1.000
         *         *         *    61.920         *    48.390    46.684     1.890    46.411     1.937     0.024     0.976     2.000
    47.750    46.130    59.790         *         *         *    47.515     3.203    47.447     3.187     0.047     0.953     2.000
         *         *         *    56.190    50.190    49.060    44.321     1.808    44.000     1.879     0.039     0.961     2.000
         *         *         *    41.870         *         *    39.780     1.942    39.770     1.946     0.003     0.997     2.000
    50.490    58.070    61.690    61.200    62.960         *    54.114     2.445    54.979     2.223     0.763     0.237     1.000
         *         *         *    68.200    73.190    77.840    58.829     3.485    59.387     3.376     0.896     0.104     1.000
    36.810         *         *         *         *         *    40.220     2.654    40.136     2.643     0.017     0.983     2.000
    49.370    46.300         *         *         *         *    46.556     2.641    46.470     2.652     0.074     0.926     2.000
    47.080    49.540    66.800    63.890         *         *    49.931     3.975    49.840     3.965     0.047     0.953     2.000
         *         *         *    51.290    56.850    61.480    45.338     2.860    44.976     2.947     0.113     0.887     2.000
    46.680    45.120    53.630         *         *         *    45.724     2.838    45.642     2.835     0.075     0.925     2.000
    57.140    60.210         *         *         *         *    56.828     2.913    57.642     2.841     0.772     0.228     1.000
         *         *         *    58.010    54.110    57.650    46.831     2.303    45.803     2.538     0.153     0.847     2.000
    32.190    31.060         *         *         *         *    34.538     2.197    34.538     2.197     0.000     1.000     2.000
    38.010         *    39.040    34.200         *         *    36.842     1.308    36.842     1.308     0.000     1.000     2.000
    66.480         *    69.770    70.120    73.560         *    63.792     2.440    63.849     2.425     0.986     0.014     1.000
         *         *         *    62.410    71.330         *    54.204     3.649    56.300     3.286     0.527     0.473     1.000
         *         *         *    54.770    61.280         *    47.882     2.990    47.028     3.172     0.207     0.793     2.000
         *         *         *    56.270         *         *    47.670     2.756    46.618     2.953     0.198     0.802     2.000
         *         *         *    54.360    67.710    63.990    48.709     3.478    48.602     3.496     0.030     0.970     2.000
    55.180    64.680    71.350    62.720    64.170    63.500    58.244     1.789    55.490     2.465     0.440     0.560     2.000
         *         *         *    74.280    77.250         *    63.241     3.435    63.644     3.362     0.942     0.058     1.000
    53.830    58.890         *         *         *         *    54.603     3.013    55.934     2.942     0.636     0.364     1.000
         *         *         *    60.360         *    68.640    51.626     3.098    49.199     3.549     0.477     0.523     2.000
    42.620    36.040         *         *         *         *    40.442     2.292    40.442     2.292     0.002     0.998     2.000
         *         *         *    48.280    60.350    64.810    45.260     3.315    45.250     3.317     0.009     0.991     2.000
         *         *         *         *    54.560    60.730    45.362     2.676    44.848     2.792     0.098     0.902     2.000
    52.100    49.770         *         *         *         *    49.031     2.725    48.695     2.769     0.202     0.798     2.000
         *         *         *    69.530         *         *    58.831     3.148    60.531     2.937     0.777     0.223     1.000
         *         *         *    62.540    68.580    62.490    54.346     2.713    57.749     2.096     0.510     0.490     1.000
         *         *         *    58.120         *         *    49.061     2.809    47.498     3.083     0.278     0.722     2.000
         *         *         *    48.430    42.340         *    40.045     1.572    40.022     1.579     0.004     0.996     2.000
         *         *         *    52.660    58.320    61.630    46.336     2.856    45.698     3.000     0.175     0.825     2.000
    49.510         *         *         *         *         *    49.257     2.886    47.930     2.840     0.254     0.746     2.000
    51.870    49.700    56.100    48.530    64.350    69.690    48.287     3.437    48.288     3.437     0.003     0.997     2.000
         *         *         *    60.060    62.310    67.660    51.549     2.847    53.750     2.362     0.555     0.445     1.000
    48.920    57.870    58.730    64.700         *         *    52.771     3.432    53.633     3.328     0.675     0.325     1.000
    59.190         *         *    63.150         *         *    56.656     2.399    57.566     2.190     0.748     0.252     1.000
         *         *         *    60.020    62.600         *    51.601     2.715    54.315     2.129     0.510     0.490     1.000
    69.030    71.360    72.240    72.770    73.410    82.830    66.698     2.263    66.730     2.253     0.992     0.008     1.000
    44.480    48.990    44.630    60.500         *         *    45.247     3.167    45.244     3.166     0.006     0.994     2.000
    88.030    83.260    84.660    91.330         *         *    79.720     3.191    79.721     3.191     1.000     0.000     1.000
         *         *         *    53.200    55.110    65.040    45.412     3.007    45.159     3.076     0.081     0.919     2.000
         *         *         *    61.470    62.010    65.250    52.645     2.493    55.041     1.980     0.604     0.396     1.000
    42.250         *    34.930    31.160    33.970    30.900    36.395    -0.289    36.394    -0.289     0.001     0.999     2.000
         *         *         *    46.180    52.260    57.770    42.429     2.578    42.382     2.592     0.021     0.979     2.000
         *         *         *    53.260         *         *    45.678     2.639    45.187     2.743     0.103     0.897     2.000
    44.890    57.000    58.250    63.410    63.370         *    51.146     3.256    52.525     2.970     0.578     0.422     1.000
    46.420    55.230    60.630    61.070         *         *    51.019     3.359    52.317     3.185     0.541     0.459     1.000
    32.840    34.180    52.420         *    64.290         *    39.832     4.754    39.833     4.753     0.000     1.000     2.000
         *         *         *    77.530    80.770    77.020    66.645     3.083    67.166     2.990     0.942     0.058     1.000
         *         *         *    57.920         *         *    48.905     2.804    47.403     3.069     0.268     0.732     2.000
    36.030    35.250         *         *         *         *    37.451     2.332    37.451     2.332     0.001     0.999     2.000
