    54.000    49.560         *         *         *         *    50.148     2.399    50.000     2.843     0.002     0.171     0.673     0.154     3.000
    56.300    69.560    67.830         *         *         *    61.650     3.182    62.128     3.202     0.002     0.888     0.110     0.000     2.000
         *         *         *    53.160         *         *    45.606     2.827    45.095     3.094     0.016     0.069     0.802     0.113     3.000
    37.100    34.860    28.660    43.670    37.900         *    36.046     0.811    36.280     0.650     0.000     0.000     0.098     0.902     4.000
    49.580         *         *    64.120         *         *    51.729     3.330    50.210     3.342     0.006     0.407     0.583     0.004     3.000
    47.050    48.070    42.290         *         *         *    44.917     1.707    44.398     2.858     0.003     0.006     0.568     0.424     3.000
         *         *         *    48.380    51.810    62.320    42.585     2.986    41.983     3.245     0.000     0.014     0.868     0.118     3.000
         *         *         *    61.750    68.500    69.760    53.942     3.201    55.503     2.934     0.010     0.622     0.368     0.000     2.000
         *         *         *    60.120    65.330    69.220    51.994     3.172    53.761     2.834     0.006     0.528     0.465     0.001     2.000
         *         *         *    60.540    58.090         *    48.683     2.788    47.670     3.036     0.002     0.178     0.793     0.027     3.000
         *         *         *    48.440    68.580    71.870    45.421     5.040    47.882     4.004     0.248     0.000     0.752     0.000     3.000
    37.950    38.360    56.990         *         *         *    40.908     4.137    41.264     3.706     0.114     0.001     0.853     0.032     3.000
    49.440    62.480    64.950    71.550    73.240    75.570    57.544     3.833    57.731     3.817     0.000     0.939     0.061     0.000     2.000
         *         *         *    35.720    67.940         *    37.846     8.148    37.608     8.343     0.957     0.000     0.043     0.000     1.000
         *         *         *    49.550    48.830    41.260    45.655     0.516    46.529     0.286     0.000     0.004     0.134     0.862     4.000
         *         *         *    70.280    72.040         *    59.876     3.079    60.667     2.944     0.015     0.894     0.091     0.000     2.000
    60.560    67.420    69.810    72.810    70.790    74.880    63.133     2.438    63.226     2.423     0.000     0.971     0.029     0.000     2.000
         *         *         *    53.070    50.900    55.830    43.918     2.341    42.699     2.742     0.000     0.044     0.782     0.174     3.000
         *         *         *    63.230    60.380         *    50.678     2.824    49.334     3.110     0.003     0.260     0.726     0.011     3.000
         *         *         *    57.440    52.230         *    45.547     2.482    44.620     2.803     0.000     0.028     0.845     0.127     3.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.757     3.253    54.609     2.901     0.000     0.533     0.467     0.000     2.000
         *         *         *    43.030    40.850    39.160    41.019     0.202    41.287     0.119     0.000     0.001     0.046     0.954     4.000
         *         *         *    60.820    71.230    67.880    53.099     3.462    52.205     3.486     0.027     0.327     0.645     0.000     3.000
         *         *         *    62.220    54.650    56.030    47.176     2.424    46.659     2.561     0.000     0.026     0.922     0.052     3.000
    45.970         *    62.210    61.220         *         *    50.279     3.464    49.101     3.501     0.014     0.323     0.659     0.004     3.000
         *         *         *    64.490    74.540    69.760    56.424     3.443    58.718     3.076     0.030     0.538     0.431     0.000     2.000
         *         *         *    52.610    58.360    57.530    45.653     2.789    45.012     2.949     0.002     0.120     0.838     0.039     3.000
         *         *         *    53.230         *         *    45.643     2.832    45.132     3.095     0.016     0.071     0.803     0.111     3.000
         *         *         *    60.400    63.120         *    51.188     2.927    49.393     3.269     0.006     0.446     0.542     0.006     3.000
         *         *         *    52.360         *    47.090    45.027     1.333    47.906     0.409     0.004     0.021     0.475     0.501     4.000
         *         *         *    41.110         *         *    40.058     1.392    40.969     0.368     0.010     0.001     0.373     0.616     4.000
    58.310    62.040    63.990    65.660    71.340    64.730    58.802     2.482    59.040     2.465     0.000     0.896     0.103     0.000     2.000
    48.380    43.040    65.570    68.470    80.570         *    47.493     8.924    47.371     9.054     0.967     0.000     0.033     0.000     1.000
         *         *         *    83.380    83.650    84.770    70.030     3.408    70.268     3.343     0.010     0.986     0.004     0.000     2.000
    41.080         *    61.940         *         *         *    46.017     4.190    46.125     3.636     0.122     0.088     0.780     0.010     3.000
    27.130         *    39.480         *         *         *    33.207     3.260    33.459     3.808     0.082     0.001     0.574     0.343     3.000
         *         *         *    69.570    71.190    66.340    59.095     2.620    60.900     2.323     0.018     0.751     0.231     0.000     2.000
         *    51.740    66.060    69.150         *         *    53.394     3.820    53.250     3.499     0.041     0.285     0.674     0.001     3.000
         *         *         *    59.880         *         *    49.967     3.049    48.628     3.197     0.019     0.303     0.659     0.019     3.000
         *         *         *    75.160    73.370         *    62.304     3.074    63.503     2.855     0.030     0.888     0.081     0.000     2.000
    64.270    70.910    73.380    79.330    80.970    82.220    66.679     3.481    66.684     3.481     0.000     0.998     0.002     0.000     2.000
         *         *         *    44.120         *    41.670    42.020     0.514    42.661     0.282     0.001     0.002     0.122     0.875     4.000
    56.590    62.410    65.240    71.140    72.140         *    59.096     3.342    59.173     3.339     0.000     0.964     0.036     0.000     2.000
    47.430    45.810    57.330    54.030    61.440    65.910    46.801     3.465    46.710     3.490     0.000     0.100     0.895     0.005     3.000
         *         *         *    62.850         *         *    52.506     3.070    50.189     3.242     0.020     0.467     0.506     0.007     3.000
    49.540    54.090    53.980    54.970    66.500         *    49.284     3.388    49.181     3.401     0.000     0.121     0.876     0.003     3.000
    45.910    38.080    34.930    31.150         *         *    39.164    -0.612    39.213    -0.700     0.000     0.000     0.033     0.967     4.000
         *         *         *    55.870    53.680    64.940    45.443     3.063    45.006     3.220     0.000     0.042     0.905     0.052     3.000
    71.990    75.240    77.850    81.310    79.760    76.200    71.698     2.122    71.708     2.122     0.000     0.997     0.003     0.000     2.000
         *         *         *    44.540    38.750    44.310    40.569     0.387    41.236     0.151     0.000     0.000     0.117     0.882     4.000
    55.550    55.450    63.010    64.360    64.230    68.360    55.089     2.634    55.457     2.567     0.000     0.806     0.193     0.001     2.000
         *         *         *    42.620    51.360    46.670    41.326     1.788    39.091     2.508     0.001     0.004     0.573     0.422     3.000
    27.750    31.030    43.010    36.300         *         *    32.526     2.301    33.279     1.240     0.021     0.000     0.413     0.566     4.000
    44.500         *         *         *         *         *    45.360     2.785    45.242     3.216     0.024     0.083     0.700     0.192     3.000
    62.340    55.620    64.850    70.680    74.120    85.510    57.237     4.333    57.187     4.356     0.000     0.915     0.085     0.000     2.000
         *         *         *    63.280    67.680    68.060    54.859     2.909    56.277     2.671     0.006     0.700     0.293     0.001     2.000
         *         *         *    59.720         *    62.120    49.635     2.784    48.045     3.045     0.005     0.299     0.682     0.014     3.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.562     2.795    52.035     2.730     0.000     0.693     0.305     0.003     2.000
    57.310         *    62.030    61.080         *         *    55.439     2.474    56.065     2.387     0.000     0.689     0.301     0.010     2.000
    37.830         *         *         *         *         *    40.480     2.972    40.939     3.464     0.057     0.018     0.658     0.267     3.000
    35.810         *         *         *         *         *    39.037     3.046    39.636     3.540     0.069     0.011     0.632     0.287     3.000
    34.660    35.730    41.630    50.260         *         *    37.081     3.510    36.939     3.656     0.018     0.002     0.871     0.108     3.000
         *         *         *    64.130    64.840    64.130    54.040     2.582    56.320     2.191     0.004     0.587     0.406     0.002     2.000
    51.710    53.550    64.210    63.470    57.600    67.220    51.431     2.775    51.255     2.828     0.000     0.049     0.941     0.010     3.000
         *         *         *    52.270    48.270    53.430    43.340     1.966    41.477     2.593     0.000     0.017     0.684     0.299     3.000
         *         *         *    63.380    66.600    63.690    54.247     2.663    56.446     2.305     0.007     0.597     0.394     0.002     2.000
    63.540    66.070    70.580    67.280    74.980         *    62.527     2.842    62.580     2.838     0.000     0.972     0.028     0.000     2.000
    43.590    53.990         *         *    62.400         *    47.658     3.442    47.005     3.536     0.000     0.208     0.788     0.004     3.000
         *         *         *    52.260         *         *    45.150     2.762    44.622     3.081     0.015     0.054     0.794     0.137     3.000
         *         *         *    74.330    79.780    81.010    64.383     3.516    64.546     3.478     0.006     0.981     0.014     0.000     2.000
         *         *         *    48.520    43.630    39.610    44.000     0.186    44.464     0.058     0.000     0.001     0.072     0.928     4.000
    64.470    69.870    74.240    67.960    78.470         *    64.798     2.959    64.927     2.950     0.000     0.944     0.056     0.000     2.000
         *         *         *    60.710    65.230    65.940    52.404     2.913    54.372     2.564     0.005     0.549     0.444     0.002     2.000
    50.430    53.700    57.840    51.850         *         *    49.508     2.280    48.933     2.704     0.000     0.103     0.751     0.145     3.000
         *         *         *    64.100    65.660         *    54.246     2.882    56.078     2.565     0.009     0.635     0.355     0.001     2.000
    52.490    46.480    67.950    79.240         *         *    51.317     6.743    49.862     8.386     0.614     0.000     0.386     0.000     1.000
    52.040         *         *         *         *         *    51.645     2.741    50.106     2.935     0.005     0.346     0.554     0.094     3.000
    52.410    53.450         *         *         *         *    51.137     2.685    50.399     2.922     0.003     0.334     0.576     0.088     3.000
    36.570         *    45.830         *         *         *    39.836     3.039    39.793     3.480     0.037     0.011     0.722     0.230     3.000
         *         *         *    55.340    58.820    65.100    47.136     3.133    46.470     3.311     0.002     0.190     0.792     0.016     3.000
    35.710    38.340         *    47.010    57.450    60.290    38.674     4.045    38.667     4.051     0.000     0.003     0.992     0.005     3.000
    54.290    51.440    61.970    65.460    68.930    68.790    53.398     3.464    53.763     3.496     0.000     0.629     0.371     0.000     2.000
    44.470    37.110    33.970    49.460         *         *    40.010     2.204    39.482     2.902     0.002     0.000     0.667     0.330     3.000
    48.020    47.170    60.060    55.660    52.840    55.030    47.347     2.048    46.925     2.234     0.000     0.017     0.850     0.133     3.000
    51.160         *         *         *         *         *    50.851     2.735    49.538     2.967     0.007     0.302     0.586     0.105     3.000
    45.760    48.950    57.910         *         *         *    47.391     3.223    47.024     3.307     0.010     0.146     0.792     0.051     3.000
    74.280    75.470    75.440    78.030    79.940    80.640    70.735     2.340    70.737     2.340     0.000     0.999     0.001     0.000     2.000
         *         *         *    53.140    64.650    63.140    47.443     3.372    47.509     3.335     0.015     0.043     0.937     0.004     3.000
    47.140    59.060    56.420    47.460         *         *    48.340     2.327    48.007     2.598     0.004     0.003     0.878     0.115     3.000
         *         *         *    62.770         *         *    52.434     3.069    50.147     3.241     0.020     0.462     0.511     0.007     3.000
    47.920    52.090    60.910    64.870    64.940    65.780    51.299     3.322    52.482     3.194     0.000     0.502     0.497     0.001     2.000
    44.030    51.600    62.250    61.720    66.370    61.420    49.288     3.427    48.637     3.485     0.000     0.212     0.787     0.001     3.000
         *         *         *    75.290    80.550    82.390    65.021     3.585    65.160     3.551     0.005     0.985     0.010     0.000     2.000
    44.150    45.160         *         *         *         *    44.156     2.542    44.111     3.216     0.014     0.033     0.694     0.259     3.000
         *         *         *    46.130         *    42.670    43.010     0.614    43.917     0.299     0.001     0.003     0.165     0.830     4.000
         *         *         *    64.100    70.590    68.610    56.039     3.043    57.498     2.810     0.011     0.706     0.283     0.000     2.000
         *         *         *    51.870    52.750    46.790    45.616     1.403    48.714     0.545     0.001     0.034     0.478     0.487     4.000
    70.490    75.400    76.640    77.190    82.850    88.120    69.546     3.272    69.547     3.272     0.000     0.999     0.001     0.000     2.000
    54.850    62.450    65.170    64.960    69.150    71.100    57.964     2.763    58.144     2.734     0.000     0.933     0.067     0.000     2.000
         *         *         *    60.110    56.750    61.570    47.912     2.747    47.037     2.957     0.000     0.146     0.829     0.024     3.000
    48.510    49.090    60.280    53.710    58.790         *    48.086     2.809    47.820     2.910     0.000     0.083     0.882     0.035     3.000
    58.500    69.760         *    68.050         *         *    61.507     2.647    62.135     2.608     0.000     0.834     0.165     0.001     2.000
    43.270         *         *         *         *         *    44.433     2.811    44.448     3.261     0.029     0.063     0.700     0.207     3.000
    64.050    62.040    75.760    74.650         *         *    63.424     3.610    63.560     3.648     0.000     0.935     0.065     0.000     2.000
         *         *         *    60.370    70.170    67.890    52.769     3.408    51.736     3.484     0.022     0.358     0.619     0.001     3.000
    58.430    64.380    61.420    59.240    66.240         *    57.092     2.148    57.846     1.954     0.000     0.647     0.348     0.005     2.000
    41.750         *         *         *         *         *    43.309     2.849    43.468     3.318     0.036     0.045     0.694     0.225     3.000
         *         *         *    54.930    55.080    55.170    45.766     2.387    44.532     2.711     0.000     0.134     0.768     0.097     3.000
         *         *         *    55.550    66.970    68.540    49.200     3.674    49.314     3.607     0.026     0.094     0.879     0.001     3.000
    50.540    46.310    56.010    52.080    61.460         *    47.579     3.015    47.512     3.049     0.000     0.069     0.914     0.017     3.000
         *         *         *    46.800    39.000    33.020    42.242    -0.267    42.310    -0.285     0.000     0.000     0.010     0.990     4.000
         *         *         *    52.540    66.320    72.240    47.388     4.188    48.437     3.887     0.079     0.011     0.909     0.001     3.000
         *         *         *    54.270    63.190         *    47.518     3.340    47.459     3.345     0.018     0.100     0.873     0.009     3.000
