    49.580         *         *    64.120         *         *    51.723     3.381    53.894     3.272     0.477     0.401     0.122     1.000
    47.050    48.070    42.290         *         *         *    44.709     1.886    44.893     1.186     0.011     0.291     0.699     3.000
         *         *         *    48.380    51.810    62.320    42.703     2.950    40.586     3.902     0.021     0.491     0.487     2.000
         *         *         *    61.750    68.500    69.760    53.760     3.242    55.498     2.938     0.664     0.287     0.049     1.000
         *         *         *    60.120    65.330    69.220    51.804     3.232    53.788     2.823     0.583     0.343     0.073     1.000
         *         *         *    60.540    58.090         *    48.857     2.753    45.807     3.621     0.245     0.478     0.277     2.000
         *         *         *    48.440    68.580    71.870    46.443     4.557    46.381     4.584     0.000     0.981     0.019     2.000
    37.950    38.360    56.990         *         *         *    40.991     4.097    40.831     4.399     0.001     0.857     0.142     2.000
    49.440    62.480    64.950    71.550    73.240    75.570    57.413     3.881    57.606     3.860     0.951     0.043     0.006     1.000
         *         *         *    35.720    67.940         *    42.183     4.357    42.182     4.358     0.000     0.999     0.001     2.000
         *         *         *    49.550    48.830    41.260    43.886     1.029    43.896     1.027     0.009     0.007     0.985     3.000
         *         *         *    70.280    72.040         *    60.057     3.024    60.601     2.949     0.917     0.069     0.014     1.000
    60.560    67.420    69.810    72.810    70.790    74.880    63.232     2.388    63.308     2.375     0.980     0.014     0.006     1.000
         *         *         *    53.070    50.900    55.830    44.498     2.143    45.919     1.657     0.074     0.316     0.611     3.000
         *         *         *    63.230    60.380         *    50.714     2.826    47.346     3.668     0.332     0.479     0.189     2.000
         *         *         *    57.440    52.230         *    45.789     2.415    47.724     1.674     0.045     0.429     0.526     3.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.532     3.316    54.668     2.869     0.576     0.380     0.044     1.000
         *         *         *    43.030    40.850    39.160    39.504     0.656    39.514     0.653     0.002     0.003     0.996     3.000
         *         *         *    60.820    71.230    67.880    52.547     3.499    50.123     3.870     0.361     0.561     0.078     2.000
         *         *         *    62.220    54.650    56.030    47.300     2.343    44.584     2.959     0.051     0.531     0.419     2.000
    45.970         *    62.210    61.220         *         *    50.269     3.503    47.997     3.931     0.398     0.479     0.124     2.000
         *         *         *    64.490    74.540    69.760    56.080     3.412    58.678     3.106     0.564     0.386     0.051     1.000
