         *         *         *    70.280    72.040         *    59.925     3.064    60.592     2.995     0.854     0.000     0.000     0.023     0.123     1.000
    60.560    67.420    69.810    72.810    70.790    74.880    63.069     2.458    63.175     2.456     0.936     0.000     0.000     0.000     0.064     1.000
         *         *         *    53.070    50.900    55.830    43.850     2.351    43.437     2.286     0.007     0.637     0.013     0.004     0.340     2.000
         *         *         *    63.230    60.380         *    51.186     2.761    51.409     2.738     0.101     0.057     0.000     0.040     0.802     5.000
         *         *         *    57.440    52.230         *    45.849     2.366    45.430     2.139     0.005     0.542     0.007     0.014     0.433     2.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.903     3.219    52.684     3.218     0.259     0.002     0.000     0.029     0.709     5.000
         *         *         *    43.030    40.850    39.160    42.495    -0.308    43.057    -0.533     0.000     0.082     0.918     0.000     0.000     3.000
         *         *         *    60.820    71.230    67.880    53.772     3.218    54.090     3.044     0.175     0.004     0.000     0.058     0.763     5.000
         *         *         *    62.220    54.650    56.030    48.358     2.149    48.923     2.181     0.006     0.371     0.001     0.017     0.604     5.000
    45.970         *    62.210    61.220         *         *    50.804     3.336    50.894     3.204     0.186     0.046     0.000     0.055     0.713     5.000
         *         *         *    64.490    74.540    69.760    56.661     3.256    56.534     3.022     0.397     0.001     0.000     0.062     0.541     5.000
         *         *         *    52.610    58.360    57.530    46.303     2.603    46.681     2.684     0.031     0.298     0.001     0.011     0.660     5.000
         *         *         *    53.230         *         *    45.828     2.782    47.281     2.950     0.018     0.388     0.013     0.047     0.535     5.000
         *         *         *    60.400    63.120         *    51.364     2.909    51.284     2.909     0.218     0.035     0.000     0.035     0.712     5.000
         *         *         *    52.360         *    47.090    43.784     1.825    42.997     2.103     0.002     0.838     0.105     0.001     0.053     2.000
         *         *         *    41.110         *         *    39.872     1.493    38.251     2.601     0.000     0.508     0.421     0.030     0.041     2.000
    58.310    62.040    63.990    65.660    71.340    64.730    58.701     2.468    58.969     2.535     0.749     0.001     0.000     0.000     0.249     1.000
    48.380    43.040    65.570    68.470    80.570         *    48.032     6.583    47.995     6.601     0.000     0.000     0.000     0.990     0.010     4.000
         *         *         *    83.380    83.650    84.770    70.074     3.389    70.149     3.377     0.995     0.000     0.000     0.004     0.001     1.000
    41.080         *    61.940         *         *         *    46.632     3.971    48.645     3.443     0.051     0.137     0.001     0.230     0.582     5.000
    27.130         *    39.480         *         *         *    32.287     3.443    31.367     3.769     0.000     0.624     0.208     0.090     0.078     2.000
         *         *         *    69.570    71.190    66.340    59.087     2.551    60.876     2.377     0.618     0.001     0.000     0.029     0.351     1.000
         *    51.740    66.060    69.150         *         *    53.938     3.571    54.469     3.136     0.238     0.008     0.000     0.081     0.673     5.000
         *         *         *    59.880         *         *    50.457     2.940    50.874     2.899     0.145     0.106     0.000     0.049     0.700     5.000
         *         *         *    75.160    73.370         *    62.546     3.015    63.440     2.894     0.876     0.000     0.000     0.036     0.088     1.000
    64.270    70.910    73.380    79.330    80.970    82.220    66.610     3.512    66.611     3.512     0.999     0.000     0.000     0.000     0.001     1.000
         *         *         *    44.120         *    41.670    42.158     0.519    43.985    -0.405     0.000     0.345     0.653     0.000     0.002     3.000
    56.590    62.410    65.240    71.140    72.140         *    59.050     3.369    59.099     3.392     0.942     0.000     0.000     0.001     0.057     1.000
    47.430    45.810    57.330    54.030    61.440    65.910    47.111     3.381    47.112     3.446     0.035     0.085     0.000     0.008     0.872     5.000
         *         *         *    62.850         *         *    52.742     2.976    52.479     2.877     0.290     0.046     0.000     0.049     0.616     5.000
    49.540    54.090    53.980    54.970    66.500         *    49.765     3.224    49.834     3.236     0.045     0.055     0.000     0.016     0.884     5.000
    45.910    38.080    34.930    31.150         *         *    39.440    -1.005    39.436    -1.077     0.000     0.020     0.977     0.002     0.000     3.000
         *         *         *    55.870    53.680    64.940    46.058     2.865    46.605     3.015     0.010     0.337     0.000     0.023     0.631     5.000
    71.990    75.240    77.850    81.310    79.760    76.200    71.654     2.150    71.662     2.152     0.996     0.000     0.000     0.000     0.004     1.000
         *         *         *    44.540    38.750    44.310    41.216     0.309    42.673    -0.279     0.000     0.228     0.771     0.000     0.002     3.000
    55.550    55.450    63.010    64.360    64.230    68.360    54.920     2.658    55.455     2.607     0.523     0.003     0.000     0.000     0.473     1.000
         *         *         *    42.620    51.360    46.670    39.879     2.301    39.423     2.444     0.000     0.898     0.063     0.001     0.037     2.000
    27.750    31.030    43.010    36.300         *         *    31.627     2.836    30.687     3.619     0.000     0.654     0.311     0.024     0.011     2.000
    44.500         *         *         *         *         *    45.583     2.680    47.292     3.231     0.038     0.359     0.100     0.069     0.433     5.000
    62.340    55.620    64.850    70.680    74.120    85.510    57.222     4.349    57.207     4.361     0.959     0.000     0.000     0.003     0.038     1.000
         *         *         *    63.280    67.680    68.060    54.730     2.901    53.852     2.945     0.468     0.003     0.000     0.021     0.508     5.000
         *         *         *    59.720         *    62.120    50.220     2.654    50.248     2.693     0.123     0.089     0.000     0.019     0.769     5.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.512     2.770    51.242     2.773     0.368     0.018     0.000     0.001     0.614     5.000
    57.310         *    62.030    61.080         *         *    55.256     2.480    54.731     2.495     0.414     0.021     0.000     0.002     0.562     5.000
    37.830         *         *         *         *         *    40.291     2.919    39.060     2.793     0.005     0.489     0.154     0.103     0.250     2.000
    35.810         *         *         *         *         *    38.745     3.023    37.587     2.977     0.003     0.506     0.170     0.111     0.210     2.000
    34.660    35.730    41.630    50.260         *         *    36.523     3.437    36.416     3.264     0.000     0.835     0.009     0.036     0.120     2.000
         *         *         *    64.130    64.840    64.130    53.932     2.569    53.126     2.650     0.326     0.010     0.000     0.019     0.644     5.000
    51.710    53.550    64.210    63.470    57.600    67.220    52.326     2.588    52.333     2.631     0.013     0.054     0.000     0.003     0.930     5.000
         *         *         *    52.270    48.270    53.430    42.741     2.182    42.281     2.250     0.002     0.781     0.043     0.002     0.172     2.000
         *         *         *    63.380    66.600    63.690    54.238     2.608    53.403     2.657     0.355     0.009     0.000     0.020     0.616     5.000
    63.540    66.070    70.580    67.280    74.980         *    62.477     2.862    62.518     2.881     0.946     0.000     0.000     0.000     0.054     1.000
    43.590    53.990         *         *    62.400         *    48.165     3.367    48.559     3.302     0.089     0.079     0.000     0.055     0.777     5.000
         *         *         *    52.260         *         *    45.192     2.739    46.757     2.958     0.012     0.440     0.019     0.046     0.482     5.000
         *         *         *    74.330    79.780    81.010    64.330     3.536    64.425     3.523     0.987     0.000     0.000     0.005     0.008     1.000
         *         *         *    48.520    43.630    39.610    44.258     0.114    46.892    -0.856     0.000     0.334     0.665     0.000     0.001     3.000
    64.470    69.870    74.240    67.960    78.470         *    64.785     2.960    64.846     2.991     0.932     0.000     0.000     0.001     0.068     1.000
         *         *         *    60.710    65.230    65.940    52.486     2.878    52.073     2.909     0.286     0.011     0.000     0.020     0.682     5.000
    50.430    53.700    57.840    51.850         *         *    49.703     2.294    49.736     2.621     0.025     0.269     0.015     0.009     0.683     5.000
         *         *         *    64.100    65.660         *    54.128     2.895    53.502     2.904     0.412     0.008     0.000     0.036     0.543     5.000
    52.490    46.480    67.950    79.240         *         *    49.945     5.690    49.767     5.767     0.000     0.000     0.000     0.961     0.038     4.000
    52.040         *         *         *         *         *    51.897     2.702    51.341     2.822     0.236     0.131     0.036     0.025     0.572     5.000
    52.410    53.450         *         *         *         *    51.303     2.667    51.196     2.820     0.180     0.126     0.023     0.015     0.656     5.000
    36.570         *    45.830         *         *         *    39.321     3.048    38.444     2.914     0.002     0.605     0.097     0.071     0.226     2.000
         *         *         *    55.340    58.820    65.100    47.804     3.027    48.059     3.060     0.060     0.108     0.000     0.023     0.808     5.000
    35.710    38.340         *    47.010    57.450    60.290    38.323     3.917    37.950     3.595     0.001     0.529     0.000     0.057     0.414     2.000
    54.290    51.440    61.970    65.460    68.930    68.790    53.520     3.371    53.350     3.229     0.440     0.002     0.000     0.003     0.555     5.000
    44.470    37.110    33.970    49.460         *         *    40.617     2.361    40.672     2.293     0.000     0.827     0.069     0.043     0.061     2.000
    48.020    47.170    60.060    55.660    52.840    55.030    47.735     1.919    47.630     1.791     0.003     0.582     0.005     0.000     0.410     2.000
    51.160         *         *         *         *         *    51.145     2.686    50.868     2.870     0.199     0.155     0.043     0.030     0.574     5.000
    45.760    48.950    57.910         *         *         *    47.696     3.095    48.126     3.254     0.066     0.216     0.006     0.036     0.676     5.000
    74.280    75.470    75.440    78.030    79.940    80.640    70.686     2.360    70.687     2.361     0.999     0.000     0.000     0.000     0.001     1.000
         *         *         *    53.140    64.650    63.140    48.555     3.127    49.061     3.039     0.014     0.069     0.000     0.046     0.870     5.000
    47.140    59.060    56.420    47.460         *         *    48.477     2.160    47.983     1.649     0.000     0.500     0.017     0.056     0.426     2.000
         *         *         *    62.770         *         *    52.678     2.975    52.436     2.877     0.285     0.047     0.000     0.049     0.619     5.000
    47.920    52.090    60.910    64.870    64.940    65.780    51.559     3.211    51.291     3.184     0.270     0.007     0.000     0.006     0.717     5.000
    44.030    51.600    62.250    61.720    66.370    61.420    50.165     3.198    50.220     3.132     0.103     0.017     0.000     0.024     0.856     5.000
         *         *         *    75.290    80.550    82.390    64.961     3.604    65.034     3.594     0.991     0.000     0.000     0.004     0.005     1.000
    44.150    45.160         *         *         *         *    44.191     2.439    43.522     2.227     0.009     0.446     0.137     0.046     0.362     2.000
         *         *         *    46.130         *    42.670    42.648     0.836    45.387    -0.459     0.000     0.480     0.515     0.000     0.005     3.000
         *         *         *    64.100    70.590    68.610    55.999     2.988    57.444     2.869     0.514     0.001     0.000     0.026     0.458     1.000
         *         *         *    51.870    52.750    46.790    43.732     1.967    43.202     2.117     0.003     0.879     0.056     0.001     0.061     2.000
    70.490    75.400    76.640    77.190    82.850    88.120    69.477     3.284    69.477     3.284     1.000     0.000     0.000     0.000     0.000     1.000
    54.850    62.450    65.170    64.960    69.150    71.100    57.859     2.788    58.073     2.785     0.832     0.000     0.000     0.001     0.167     1.000
         *         *         *    60.110    56.750    61.570    48.815     2.585    49.009     2.631     0.041     0.135     0.000     0.015     0.808     5.000
