ID,grading,exam,mark,ASCI1,ASCI2,ASCI3,ASCI4,ASCI5,ASCI6,ASCI7,ASCI8,AMSC01,AMSC02,AMSC03,AMSC04,AMSC05,AMSC06,AMSC07,AMSC08,AMSC09,AMSC10,AMSC11,AMSC12,AMSC13,AMSC14,AMSC15,AMSC16,AMSC17,AMSC18,AMSC19,AMSC20,AMSC21,AMSC22,AMSC23,AMSC24,AMSC25,AMSC26,AMSC27,AMSC28,EBN1,EBN2,EBN3,EBN4,EBN5,EBP1,EBP2,EBP3,EBP4,MSLQ05,MSLQ06,MSLQ12,MSLQ15,MSLQ20,MSLQ21,MSLQ29,MSLQ31,CSC24,CSC28,CSC20,CSC36,CSC16,CSC40,CSC04,CSC12,CSC32,CSC08,Age ,Major,Year,Year_6_TEXT,Credits ,Work ,FirstGen ,Gender ,Gender ,Race ,Race _8_TEXT
T84,trad,54,A-,3,3,4,4,2,4,3,6,4,4,4,3,1,2,4,4,4,5,3,1,4,4,5,4,5,3,1,3,4,5,5,5,5,2,3,4,3,2,1,1,1,5,5,5,5,3,3,3,3,3,3,3,3,4,2,2,4,4,4,1,3,3,3,19,biomedical engineering/premed track,2,,0,0,0,I am a woman,9,7,
T85,trad,56,B+,4,5,5,4,2,3,3,3,1,2,5,1,1,4,3,3,3,4,1,1,3,3,2,3,4,3,1,3,1,2,4,4,2,1,2,1,1,1,1,1,1,4,4,5,3,5,5,5,5,5,5,5,5,4,1,1,2,4,1,1,4,2,4,19,Biochemistry and Molecular Biology ,2,,0,0,0,I am a man,2,7,
T86,trad,54,C+,7,1,1,7,7,1,7,1,3,3,4,3,5,3,3,4,3,4,3,5,3,3,4,3,3,2,5,3,3,3,3,3,3,5,3,4,5,4,3,4,4,4,5,5,5,3,3,4,4,3,4,4,4,3,5,5,1,3,5,5,2,5,1,20,Biology,3,,0,0,0,I am a woman,9,1,
T87,trad,70,A,5,5,5,4,1,3,3,5,3,5,4,4,1,5,5,3,5,5,3,1,5,5,5,5,3,3,1,5,5,3,4,4,4,1,4,4,2,1,1,2,1,4,5,4,2,4,4,5,4,4,4,4,5,4,4,1,4,4,2,1,5,1,5,19,BMB,2,,0,0,0,I am a woman,9,7,
T88,trad,44,C,6,5,6,6,3,7,3,5,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,4,3,4,3,2,4,3,3,4,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,21,Kines,4,,0,0,0,I am a woman,9,1,
T89,trad,62,A,4,4,5,3,1,4,1,7,2,5,5,5,1,5,5,3,5,4,5,1,5,5,4,5,5,5,1,5,5,3,5,5,5,1,5,5,1,1,1,1,1,5,3,4,3,4,3,4,4,4,4,5,5,4,2,1,4,4,1,1,5,1,5,20,Biomedical engineering ,3,,0,1,0,I am a woman,9,7,
T90,trad,36,C,5,3,4,4,3,5,3,7,4,5,5,4,1,4,5,5,4,5,4,1,4,4,4,4,4,4,1,4,4,4,5,5,5,1,4,4,5,1,1,1,3,5,5,5,5,4,4,4,3,4,4,4,4,4,2,1,3,4,1,1,4,1,4,18,Biochemistry & Molecular Biology,1,,0,0,0,I am a woman,9,1,
T91,trad,72,A,4,5,3,3,2,3,3,5,3,4,5,4,1,4,4,4,4,4,4,2,4,4,4,4,4,4,1,4,3,3,4,4,4,2,4,4,2,1,1,1,1,4,2,4,4,4,3,4,4,3,4,4,4,4,3,2,4,4,2,2,4,3,4,19,Chemical engineering ,2,,0,0,0,I am a man,2,2,
T92,trad,50,C,5,3,4,3,2,3,3,3,4,5,3,3,1,5,5,3,4,4,4,1,5,3,3,5,3,4,1,3,2,3,4,3,5,1,5,3,3,2,1,1,1,4,4,5,3,4,3,4,3,3,3,3,3,4,2,2,3,3,2,1,5,3,3,20,Biology ,3,,0,0,0,My gender or gender identity is best described as:,,7,
T93,trad,54,B-,5,5,5,6,2,2,3,5,3,5,5,2,1,5,5,3,4,5,3,1,5,5,3,2,4,1,1,4,5,4,4,4,4,1,4,4,2,1,1,1,1,4,5,4,4,4,2,4,3,4,4,4,4,4,4,1,1,3,1,1,4,4,1,19,Forensic Science,2,,0,1,0,I am gender nonconforming,5,7,
