     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1356
     1.000     0.000     1.000     0.000     1.000     0.157     0.290     0.552     0.000     3.000 1357
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1359
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1360
     1.000     0.000     0.000     0.000     0.000     0.000     0.146     0.064     0.790     4.000 1361
     0.000     0.000     0.000     1.000     0.000     0.000     0.171     0.203     0.627     4.000 1362
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1364
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1365
     0.000     0.000     0.000     1.000     0.000     0.000     0.171     0.203     0.627     4.000 1366
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1367
     0.000     1.000     1.000     1.000     0.000     0.168     0.685     0.147     0.000     2.000 1368
     0.000     1.000     1.000     0.000     0.000     0.014     0.928     0.056     0.002     2.000 1369
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1376
     1.000     1.000     1.000     0.000     0.000     0.062     0.869     0.068     0.000     2.000 1377
     0.000     1.000     0.000     0.000     1.000     0.020     0.057     0.923     0.000     3.000 1378
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1379
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1383
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1385
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1386
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1389
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1390
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1391
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1392
     0.000     1.000     1.000     1.000     0.000     0.168     0.685     0.147     0.000     2.000 1396
