     1.000     1.000     1.000     0.000     1.000     1.000     0.000    42.740     0.004     0.736     0.184     0.076     2.000
     1.000     1.000     1.000     1.000     1.000         *     0.000    39.460     0.000     0.923     0.015     0.062     2.000
     1.000     1.000     1.000     1.000     1.000         *     1.000         *     0.000     0.962     0.002     0.035     2.000
     0.000     0.000     1.000     0.000     1.000         *     0.000         *     0.342     0.009     0.007     0.642     4.000
         *     1.000     1.000     0.000     0.000     1.000     1.000    32.930     0.038     0.012     0.949     0.000     3.000
     1.000     1.000     1.000     0.000     1.000         *     1.000         *     0.002     0.869     0.047     0.082     2.000
     1.000     0.000     1.000     1.000     1.000     1.000     1.000    46.690     0.009     0.174     0.007     0.810     4.000
     1.000     1.000     1.000     1.000     1.000         *     0.000         *     0.000     0.974     0.004     0.022     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000    77.240     0.000     0.989     0.000     0.010     2.000
     1.000     1.000     1.000     0.000     0.000         *     0.000         *     0.004     0.046     0.950     0.000     3.000
     1.000     1.000     1.000     0.000     1.000     0.000     0.000    37.960     0.009     0.459     0.355     0.178     2.000
     1.000     1.000     1.000     1.000     1.000         *     0.000         *     0.000     0.974     0.004     0.022     2.000
     1.000     1.000     1.000     0.000     0.000         *     0.000         *     0.004     0.046     0.950     0.000     3.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000    45.300     0.000     0.893     0.015     0.091     2.000
     0.000     0.000     0.000     1.000     1.000         *     0.000         *     0.327     0.003     0.000     0.669     4.000
     1.000     1.000     1.000     1.000     0.000     1.000     1.000    68.600     0.001     0.852     0.147     0.000     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000    38.030     0.993     0.000     0.007     0.000     1.000
     0.000     1.000     0.000     0.000     0.000         *     0.000    44.420     0.780     0.001     0.219     0.000     1.000
     0.000     0.000     0.000     1.000     0.000     0.000     1.000    46.260     0.996     0.000     0.004     0.000     1.000
     1.000     0.000     1.000     1.000     1.000     1.000     0.000    43.740     0.013     0.221     0.018     0.747     4.000
     1.000     0.000     1.000     0.000     0.000         *     0.000         *     0.118     0.005     0.877     0.000     3.000
     0.000     1.000     1.000     0.000     1.000         *     0.000         *     0.061     0.484     0.047     0.408     2.000
     0.000     0.000     0.000     0.000     0.000         *     0.000         *     0.992     0.000     0.008     0.000     1.000
     1.000     1.000     1.000     0.000     0.000         *     0.000         *     0.004     0.046     0.950     0.000     3.000
     0.000     0.000     0.000     0.000     0.000         *     0.000         *     0.992     0.000     0.008     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000    70.170     0.000     0.990     0.001     0.009     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000    53.950     0.992     0.000     0.008     0.000     1.000
         *         *         *         *         *         *     0.000         *     0.177     0.501     0.195     0.127     2.000
     1.000     1.000     0.000     0.000     0.000         *     0.000         *     0.060     0.012     0.928     0.000     3.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000    45.320     0.133     0.001     0.866     0.000     3.000
     1.000     1.000     1.000     0.000     0.000         *     0.000         *     0.004     0.046     0.950     0.000     3.000
     1.000     0.000     0.000     1.000     0.000         *     1.000         *     0.796     0.011     0.191     0.001     1.000
     0.000     0.000     0.000     1.000     0.000         *     0.000         *     0.992     0.000     0.007     0.000     1.000
     0.000     0.000     1.000     0.000     0.000         *     0.000    56.550     0.885     0.001     0.114     0.000     1.000
     1.000     1.000     1.000     0.000     1.000         *     0.000         *     0.002     0.869     0.078     0.051     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000    56.160     0.000     0.977     0.003     0.019     2.000
     1.000     1.000     1.000     1.000     1.000         *     0.000    62.910     0.000     0.979     0.002     0.019     2.000
