CASENUM,COHORT,AB39A,GA32A,KA46A,AB39B,AB39C,AB39D,AB39E,AB39F,AB39G,AB39H,GA32H,KA46H,AB39I,GA32I,KA46I,AB39J,AB39K,GA32K,KA46K,AB39L,GA32L,KA46L,AB39M,GA33A,KA47A,AB39N,AB39O,AB39P,AB39Q,AB39R,AB39S,AB39T,GA33H,KA47H,AB39U,GA33I,KA47I,AB39V,AB39W,GA33K,KA47K,AB39X,GA33L,KA47L,SCIENCEG7,SCIG8,SCIG11,MTH7,SCI7,SCI8,MOTHED,FATHED,PEDUC,PEDUC3,RSEDAN,RSEDAN6,RSEDAN5,RBACC,RMAJFIRST,RMAJFIRST2,RMAJLAST2,RMAJLAST,RGRADMAJ,RGRADMAJ10,RSTEMM,RSTEMMX,RSTEMMB,RSTEMMA,WEIGHT7,WEIGHT8,WEIGHT9,WEIGHT10,WEIGHT11,WEIGHT12,WEIGHTP1,WEIGHTP2,WEIGHTP4,WGT12A,WEIGHTR,GENDER,RACETH3,RACETH,MINORITY,STEM,STEMSUP,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE
3339,2,1,1,NA,3,3,3,4,2,2,0,1,NA,0,1,NA,3,0,1,NA,0,1,NA,1,0,NA,3,3,3,2,2,3,0,0,NA,0,0,NA,4,0,0,NA,1,0,NA,47.54,46.18,9999,2,1,1,2,4,4,4,15,5,4,1,9,0,1,2,0,10,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,3.05,2,3,3,0,0,0,0,45.77,42.62,9999,9999,9999,0
5729,2,0,0,1,2,2,3,4,4,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,4,5,3,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,50.94,58.61,9999,3,1,1,4,2,4,4,15,5,4,1,6,0,0,6,0,6,0,25,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,57.72,61.9,9999,9999,9999,1
5874,2,0,NA,NA,3,1,3,5,4,5,0,NA,NA,0,NA,NA,-98,0,NA,NA,0,NA,NA,1,NA,NA,3,2,1,2,3,5,0,NA,NA,0,NA,NA,4,0,NA,NA,0,NA,NA,42.18,9999,9999,2,1,1,2,2,2,1,1,1,1,0,10,0,0,0,0,0,0,31,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,46.76,42.6,9999,9999,9999,1
6415,2,0,0,0,2,2,4,4,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,2,4,4,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,58.5,61.28,9999,4,1,1,2,2,2,1,15,5,4,1,6,0,0,7,0,7,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,55.08,60.9,9999,9999,9999,1
3384,2,0,0,NA,1,1,5,-98,3,2,0,0,NA,0,0,NA,3,0,0,NA,0,0,NA,0,0,NA,3,3,3,3,3,3,0,0,NA,0,0,NA,3,0,0,NA,0,0,NA,50.23,51.45,9999,3,1,1,2,1,2,1,14,4,3,1,8,0,0,8,0,0,0,22,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,4,0,0,0,0,60.29,63.32,9999,9999,9999,1
1335,2,1,NA,NA,4,-96,-96,2,2,2,1,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,2,2,2,1,NA,NA,1,NA,NA,2,1,NA,NA,1,NA,NA,33.79,35.84,9999,1,0,1,4,2,4,4,5,2,1,0,10,0,0,0,0,0,0,52,1,1,1.8436,1.889,1.8987,1.986,0,0,0,0,0,0,1.45,1,3,3,0,0,0,0,33.57,35.31,9999,9999,9999,1
3647,2,1,NA,NA,2,2,3,4,2,5,0,NA,NA,0,NA,NA,5,1,NA,NA,1,NA,NA,0,NA,NA,4,3,1,1,1,5,1,NA,NA,1,NA,NA,5,1,NA,NA,1,NA,NA,35.56,31.96,9999,2,1,1,2,2,2,1,4,2,1,0,10,0,0,0,0,0,0,63,0,0,1.8436,1.889,1.8987,1.986,2.4785,0,0,0,0,2.2994,1.45,1,1,1,1,0,0,0,43.39,9999,9999,9999,9999,1
1349,2,1,NA,NA,2,2,3,4,2,3,0,NA,NA,0,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,NA,2,2,2,3,2,3,1,NA,NA,0,NA,NA,4,1,NA,NA,0,NA,NA,41.91,39.91,9999,1,1,1,2,3,3,3,11,4,3,1,7,0,0,7,0,0,0,25,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,42.04,45.53,9999,9999,9999,1
5078,2,0,1,0,4,2,4,3,2,5,0,1,1,0,1,1,5,1,1,1,1,0,1,1,0,0,1,1,5,5,3,5,1,0,0,1,1,1,5,1,0,1,1,0,1,50.85,51.18,9999,3,1,1,2,3,3,3,9,3,2,0,5,1,0,0,0,0,0,52,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,56.08,9999,9999,9999,9999,1
3644,2,1,1,1,2,2,5,4,2,4,0,1,0,0,1,1,5,1,0,0,0,1,0,1,1,1,1,1,5,4,5,5,1,1,0,1,1,1,5,0,1,0,0,1,0,63.91,67.49,9999,3,1,1,4,-99,4,4,13,4,3,1,6,0,0,6,0,0,0,22,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,60.79,60.76,9999,9999,9999,1
