5961	1	1	1	0	0	0	.	0	1	0	0	0	40.86	.	.	0	0.239	0.732	0.028	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3134	1	1	1	1	0	0	0	0	0	0	1	0	35.29	59.73	.	0	0.925	0.055	0.02	2	1	1	1	1	1	0	0	1	0	0	1	0	35.29	59.73	.	0.003	0.966	0.031	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1397	1	1	1	1	1	1	1	0	0	0	1	1	43.04	40.74	51.39	0.056	0.823	0.121	0	2	1	1	1	1	1	1	0	0	0	0	1	1	43.04	40.74	51.39	0.001	0.973	0.025	0	2	0	1	0	1	1	0	0	0	0	0	1	1	43.04	40.74	51.39	0	0.026	0.934	0.04	3
5789	1	1	1	1	1	1	1	1	1	1	0	0	47.89	58.92	.	0.998	0	0.002	0	1	1	1	1	1	1	0	0	0	0	0	0	0	47.89	58.92	.	0	0.992	0.007	0.001	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5865	0	1	0	0	0	1	0	1	0	0	.	1	34.91	.	.	0	0.042	0.862	0.095	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1762	0	1	1	1	1	1	0	1	0	1	1	0	52.62	63.33	69.74	0.338	0.372	0.291	0	2	1	1	1	1	1	0	1	0	0	0	1	0	52.62	63.33	69.74	0.007	0.93	0.063	0	2	1	1	1	0	1	0	0	0	0	0	1	0	52.62	63.33	69.74	0	0.055	0.925	0.02	3
5249	1	1	1	1	1	1	0	0	0	0	1	1	42.96	52.17	.	0.001	0.983	0.016	0	2	1	1	1	1	1	1	0	1	0	0	1	1	42.96	52.17	.	0.037	0.864	0.099	0	2	0	1	1	0	1	0	0	0	0	0	1	1	42.96	52.17	.	0	0.108	0.804	0.087	3
6590	1	1	0	1	1	1	0	1	0	0	0	1	48.63	48.46	.	0.003	0.906	0.091	0	2	1	1	1	1	1	1	1	1	1	1	0	1	48.63	48.46	.	0.998	0	0.002	0	1	1	1	1	1	1	1	1	1	1	1	0	1	48.63	48.46	.	0.998	0.002	0	0	1
6473	1	1	1	1	1	0	1	1	0	1	1	1	30.47	.	.	0.853	0.078	0.069	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1331	1	1	1	1	1	0	0	0	1	0	1	1	47.71	.	.	0.003	0.978	0.019	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
