CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1158,1,2,63.54,66.07,70.58,67.28,74.98,NA
1159,2,3,43.59,53.99,NA,NA,62.4,NA
1160,2,NA,NA,NA,NA,52.26,NA,NA
1161,2,NA,NA,NA,NA,74.33,79.78,81.01
1162,2,NA,NA,NA,NA,48.52,43.63,39.61
1163,2,3,64.47,69.87,74.24,67.96,78.47,NA
1164,2,NA,NA,NA,NA,60.71,65.23,65.94
1165,1,1,50.43,53.7,57.84,51.85,NA,NA
1166,2,NA,NA,NA,NA,64.1,65.66,NA
1167,2,3,52.49,46.48,67.95,79.24,NA,NA
1168,2,3,52.04,NA,NA,NA,NA,NA
1169,1,1,52.41,53.45,NA,NA,NA,NA
1170,1,2,36.57,NA,45.83,NA,NA,NA
1171,1,NA,NA,NA,NA,55.34,58.82,65.1
1172,1,1,35.71,38.34,NA,47.01,57.45,60.29
1173,2,3,54.29,51.44,61.97,65.46,68.93,68.79
1174,2,1,44.47,37.11,33.97,49.46,NA,NA
1175,1,2,48.02,47.17,60.06,55.66,52.84,55.03
1176,2,2,51.16,NA,NA,NA,NA,NA
1177,2,1,45.76,48.95,57.91,NA,NA,NA
1178,2,3,74.28,75.47,75.44,78.03,79.94,80.64
1179,2,NA,NA,NA,NA,53.14,64.65,63.14
1180,2,NA,NA,NA,NA,NA,NA,NA
1181,2,2,47.14,59.06,56.42,47.46,NA,NA
1182,2,NA,NA,NA,NA,62.77,NA,NA
1183,1,2,47.92,52.09,60.91,64.87,64.94,65.78
1184,1,1,44.03,51.6,62.25,61.72,66.37,61.42
1185,2,NA,NA,NA,NA,75.29,80.55,82.39
1186,2,1,44.15,45.16,NA,NA,NA,NA
1187,2,NA,NA,NA,NA,46.13,NA,42.67
1188,1,NA,NA,NA,NA,64.1,70.59,68.61
1189,2,NA,NA,NA,NA,51.87,52.75,46.79
1190,2,3,70.49,75.4,76.64,77.19,82.85,88.12
1191,1,2,54.85,62.45,65.17,64.96,69.15,71.1
1192,1,NA,NA,NA,NA,60.11,56.75,61.57
1193,2,1,48.51,49.09,60.28,53.71,58.79,NA
1194,1,2,58.5,69.76,NA,68.05,NA,NA
1195,2,2,43.27,NA,NA,NA,NA,NA
1196,2,3,64.05,62.04,75.76,74.65,NA,NA
1197,2,NA,NA,NA,NA,60.37,70.17,67.89
1198,2,2,58.43,64.38,61.42,59.24,66.24,NA
1199,2,1,41.75,NA,NA,NA,NA,NA
1200,1,NA,NA,NA,NA,54.93,55.08,55.17
1201,1,NA,NA,NA,NA,55.55,66.97,68.54
1202,2,1,50.54,46.31,56.01,52.08,61.46,NA
1203,2,NA,NA,NA,NA,46.8,39,33.02
1204,1,NA,NA,NA,NA,52.54,66.32,72.24
1205,2,NA,NA,NA,NA,54.27,63.19,NA
1206,2,NA,NA,NA,NA,82.02,NA,NA
1207,1,NA,NA,NA,NA,64.64,68.59,68.71
1208,2,2,48.91,50.45,54.22,68.42,67.32,62
1209,1,2,66.49,76.29,76.36,NA,81.33,NA
1210,2,NA,NA,NA,NA,41.33,39.36,48.16
1211,1,3,49.26,NA,NA,NA,NA,NA
1212,1,2,50.64,NA,NA,NA,58.57,79.12
1213,1,NA,NA,NA,NA,NA,NA,NA
1214,1,3,63.89,70.26,68.14,74.8,82.21,NA
1215,2,NA,NA,NA,NA,70.1,67.12,NA
1216,1,NA,NA,NA,NA,52.37,63.86,66.22
1217,2,2,56.61,NA,NA,NA,58.41,NA
1218,1,1,45.46,43.82,43.4,50.2,54.3,NA
1219,1,1,44.38,46.8,56.55,NA,54.98,50.66
1220,2,NA,NA,NA,NA,59.12,65.93,66.2
1221,1,NA,NA,NA,NA,70.43,NA,NA
1222,1,2,41.09,50.06,63.47,NA,63.58,64.41
1223,1,1,65.04,NA,NA,NA,NA,NA
1224,1,NA,NA,NA,NA,62.23,60.43,58.25
1225,2,2,62.86,71.4,72.1,78,73.45,79.32
1226,2,NA,NA,NA,NA,62.56,NA,57.55
1227,2,2,35.5,31.94,30.62,28.29,36.63,NA
1228,1,3,38.84,44.52,NA,NA,NA,NA
1229,1,1,44.46,46.8,NA,54.31,55.97,57.11
1230,2,NA,NA,NA,NA,71.02,NA,79.72
1231,2,2,44.58,44.49,NA,39.62,41.56,NA
1232,2,3,65.46,66.54,78.91,NA,78.18,85.21
1233,2,3,49.26,58.09,58.88,59.45,58.81,NA
1234,2,3,51.55,61.88,57.4,56.3,63.37,58.07
1235,2,2,47.04,50.89,64.88,66.78,NA,68.65
1236,2,1,56.63,53.41,63.22,71.44,74.02,NA
1237,1,NA,NA,NA,NA,49.38,NA,47.92
1238,1,1,52.61,NA,46.86,NA,NA,NA
1239,2,NA,NA,NA,NA,72.68,77.54,69.93
1240,2,NA,NA,NA,NA,68.14,77.22,NA
1241,2,NA,NA,NA,NA,60.34,NA,62.06
1242,1,1,44.29,36.31,46.75,NA,42.02,37.1
1243,1,NA,NA,NA,NA,51.22,NA,NA
1244,2,3,55.43,54.57,63.09,65.27,66.62,69.57
1245,2,1,50.59,60.74,59.34,NA,62.52,64.97
1246,1,NA,NA,NA,NA,61.92,NA,48.39
1247,1,1,47.75,46.13,59.79,NA,NA,NA
1248,2,NA,NA,NA,NA,56.19,50.19,49.06
1249,2,NA,NA,NA,NA,41.87,NA,NA
1250,1,1,50.49,58.07,61.69,61.2,62.96,NA
1251,2,NA,NA,NA,NA,68.2,73.19,77.84
1252,1,3,36.81,NA,NA,NA,NA,NA
1253,1,2,49.37,46.3,NA,NA,NA,NA
1254,2,2,47.08,49.54,66.8,63.89,NA,NA
1255,1,NA,NA,NA,NA,51.29,56.85,61.48
1256,1,1,46.68,45.12,53.63,NA,NA,NA
1257,2,2,57.14,60.21,NA,NA,NA,NA
1258,1,NA,NA,NA,NA,58.01,54.11,57.65
1259,2,3,32.19,31.06,NA,NA,NA,NA
1260,1,1,38.01,NA,39.04,34.2,NA,NA
