CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
1232,2,4,2,2,2,2,2,2,2,2,2
1233,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1234,2,5,2,2,2,2,2,NA,3,3,3
1235,2,4,2,2,2,2,2,1,1,2,2
1236,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1237,1,4,3,2,3,2,4,2,3,3,3
1238,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241,2,2,2,2,1,1,2,3,2,3,3
1242,1,2,4,4,2,3,3,3,3,3,3
1243,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,2,2,1,1,3,2,2,3,2,3,3
1245,2,5,2,3,2,3,4,2,3,2,3
1246,1,4,3,4,4,4,4,4,4,4,4
1247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,2,1,1,1,2,2,5,5,5,5,5
1249,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,1,4,4,4,4,3,2,4,4,4,3
1251,2,1,1,1,2,2,1,1,1,2,2
1252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254,2,3,3,3,3,3,3,3,3,3,3
1255,1,2,2,3,3,2,4,4,4,5,4
1256,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,1,2,2,2,2,2,3,3,2,2,2
1259,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1264,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1265,1,3,4,3,3,3,2,2,2,3,3
1266,2,2,1,1,1,1,4,2,2,5,2
1267,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1269,2,2,2,3,2,2,2,5,5,5,2
1270,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1271,2,2,2,2,2,2,4,4,4,4,4
1272,1,4,3,3,4,5,4,4,3,4,4
1273,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1274,1,4,4,2,4,2,2,2,2,4,3
1275,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1276,1,4,2,4,2,2,2,2,2,2,3
1277,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1278,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1279,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1280,2,NA,4,2,3,4,2,1,1,2,2
1281,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1282,1,2,1,1,1,1,1,1,1,1,1
1283,2,2,2,2,2,2,2,1,1,2,2
1284,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286,1,2,2,2,NA,NA,4,4,2,4,4
1287,2,1,2,2,2,2,1,2,2,2,2
1288,1,3,2,1,2,2,2,3,3,3,3
1289,2,1,2,2,2,1,1,2,2,2,1
1290,1,2,2,2,3,4,4,4,2,3,4
1291,2,2,2,2,1,2,2,2,2,3,3
1292,2,3,3,3,3,3,3,3,3,3,3
1293,1,1,1,1,2,2,1,2,2,2,2
1294,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1295,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296,1,2,2,2,2,2,2,2,2,2,2
1297,2,3,3,1,4,2,4,2,4,3,2
1298,2,3,2,2,2,2,2,2,2,2,2
1299,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,1,4,5,3,2,3,1,2,3,2,3
1303,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306,2,2,1,1,1,1,1,2,1,2,2
1307,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,1,5,2,2,3,2,4,4,2,4,4
1309,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310,2,1,2,2,2,2,1,2,2,2,2
1311,1,5,1,1,4,1,2,4,2,4,4
1312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1313,2,2,2,2,1,1,1,2,1,2,1
1314,2,2,2,2,2,3,4,4,NA,4,3
1315,1,2,2,2,5,1,4,3,3,NA,2
1316,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1317,1,5,2,NA,NA,2,1,3,2,2,1
1318,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1319,1,4,4,3,3,3,4,3,3,3,3
1320,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
