casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2,sci_issues7,sci_irt7
5542,2,1,1,0,0,0,0,0,1,0,0,0,0,48.41,62.99,68.26,0.33,0,0.11,0,1,43.71
2023,2,1,1,0,1,0,1,1,1,1,0,1,1,51.07,60.91,67.17,1,1,0.78,0,2,56.33
5828,2,1,0,0,1,1,1,0,0,1,1,1,1,42.25,48.31,45.36,1,1,0.44,0,1,43.88
3412,2,1,0,1,1,1,0,1,1,1,1,1,1,70.79,79.06,87.89,0.67,0,0.89,0,2,69.34
5173,2,1,0,0,0,0,0,0,0,1,1,1,1,41.21,39.33,43.4,0.33,0,0.44,0,1,42.08
5399,2,1,0,1,1,0,0,0,1,1,1,1,1,55.32,45.16,47.73,0.67,0,0.78,0,1,52.31
2825,2,1,0,1,0,1,0,1,1,1,1,1,1,49.48,68.81,71.88,0.67,0,0.78,0,1,56.31
5225,2,1,1,1,1,1,1,1,1,1,1,1,1,51.44,59.69,58.65,0.67,0,0.89,0,2,38.66
6361,2,1,0,1,0,0,0,0,0,0,0,0,0,61.85,64.72,65.1,0.33,0,0.22,0,1,43.26
3161,2,0,0,1,0,0,0,0,1,0,0,1,0,64.64,82.4,96.5,1,1,1,1,3,63.6
1632,2,1,0,0,0,0,0,0,1,0,1,1,1,52.87,72.56,79.41,1,1,0.89,0,2,47.27
1898,2,0,0,0,0,0,0,0,1,1,1,0,1,53.19,64.51,72.14,1,1,0.89,0,2,55.35
5379,2,1,1,1,1,0,0,0,0,0,0,0,0,53.41,65.11,66.69,1,1,0.89,0,1,47.51
1844,2,0,0,1,0,1,0,1,1,1,1,1,1,63.15,83.81,84.02,0.67,0,0.89,0,2,63.65
1191,2,1,1,1,1,0,0,0,1,1,0,0,1,55.5,67.61,73.07,1,1,0.89,0,2,54.85
3706,2,0,0,1,0,0,0,0,1,0,1,1,1,44.16,59.17,78.49,0.67,0,0.78,0,2,58.7
4932,2,1,0,1,1,1,1,1,1,1,1,1,1,64.6,84.74,91.12,1,1,1,1,2,56.09
4122,2,0,1,1,0,1,1,1,1,1,1,1,0,38.96,48.96,63.06,1,1,0.78,0,3,49.69
2617,2,0,1,1,0,0,0,0,0,0,0,0,0,57.87,76.01,81.32,0.33,0,0.44,0,1,52.5
1821,2,1,0,1,1,1,1,1,1,0,0,0,0,50.02,64.76,71.72,0.33,0,0.25,0,1,52.66
2563,2,0,0,1,0,1,1,1,1,0,1,1,1,40.18,59.13,67.74,1,1,0.78,0,3,58.77
2466,2,0,0,1,0,1,1,1,1,1,1,1,1,49.67,78.95,72.08,1,1,1,1,1,36.62
4763,2,1,1,0,0,1,0,1,1,0,0,0,0,42.14,59.24,63.05,1,1,0.78,0,1,40.86
5653,2,1,1,1,0,0,0,0,1,0,0,0,0,59.29,75.64,84.06,1,1,1,1,1,47.82
5681,2,1,1,0,0,0,0,0,1,1,1,1,1,51,64.31,68.39,0.67,0,0.67,0,1,39.78
2123,2,0,0,1,0,1,0,1,0,1,1,0,0,67.8,80.65,86.98,1,1,1,1,3,67.72
4650,2,0,0,0,0,0,0,1,0,0,0,1,0,32.21,67.33,69.72,0.5,0,0.5,0,2,46.1
3785,2,0,0,1,1,1,1,1,1,0,0,0,0,50.35,54.29,78.54,0.67,0,0.89,0,2,50.71
2345,2,1,1,0,0,0,0,0,0,0,0,0,1,44.32,62.09,68.48,0.33,0,0.56,0,1,42.62
6407,2,0,1,0,0,0,0,1,1,0,1,0,1,33.91,36.04,35.9,1,1,0.71,0,3,42.23
2740,2,0,1,1,1,0,0,1,1,0,0,1,1,42.06,43.41,49.19,1,1,1,1,1,40.89
1778,2,0,1,0,0,1,0,0,0,0,1,0,0,39.18,58.13,59,0.67,0,0.22,0,1,48.96
3954,2,0,1,1,0,0,1,1,0,0,1,0,0,45.76,50.06,55.94,0.33,0,0.67,0,1,49.08
2620,2,1,0,1,0,0,0,0,1,0,1,1,0,62.34,66.27,69.3,1,1,0.62,0,2,63.12
6122,2,0,0,1,1,1,1,1,0,0,0,0,0,43.35,66.49,80.66,1,1,1,1,1,35.22
5084,2,1,0,1,1,1,1,1,1,0,0,1,1,50.49,67.27,72.39,1,1,0.67,0,2,45.13
3513,2,0,0,1,0,0,0,1,1,1,1,1,1,69.45,81.72,87.82,0.67,0,0.78,0,2,69.07
6779,2,0,1,1,1,0,1,1,1,0,0,1,1,38.88,32.62,43.35,0.67,0,0.56,0,1,39.11
4859,2,1,1,1,0,0,0,0,1,1,1,0,1,43.88,42.15,34.8,0.33,0,0.67,0,1,41.4
4690,2,0,1,1,0,1,0,0,1,0,0,1,0,37.51,56.04,60.29,0.33,0,0.78,0,NA,38.28
6515,2,0,0,1,1,0,1,1,0,0,0,0,0,46.87,62.34,72.31,0.5,0,0.75,0,3,52.7
5476,2,0,0,0,1,1,1,0,1,1,1,0,1,53.91,66.73,67.17,1,1,0.89,0,2,48.09
1172,2,1,1,0,1,1,0,1,0,0,0,1,0,41.33,43.27,42.82,1,1,1,1,1,35.71
3548,2,0,1,1,1,1,1,1,0,0,0,0,0,38.02,45.66,67.45,0.5,0,0.88,0,3,38.78
4187,2,1,0,1,1,1,1,1,1,1,1,1,1,82.54,91.31,92.48,1,1,0.78,0,3,74.55
4135,2,1,0,1,0,0,0,1,1,0,0,0,0,74.58,87.07,87.35,0.33,0,0.33,0,1,65.42
3255,2,1,0,0,0,0,0,0,1,1,1,1,1,66.12,73.01,83.1,1,1,1,1,3,60.69
5362,2,1,0,0,0,0,0,0,0,0,0,0,0,52.13,66.58,63.41,0.33,0,0.22,0,1,47.84
6539,2,0,1,0,0,0,0,0,1,1,1,1,1,59.03,77.13,77.73,1,1,1,1,2,49.1
1072,2,0,0,1,1,1,1,1,1,0,0,0,0,63.07,75.08,70.44,1,1,1,1,1,69.68
4554,2,1,0,1,1,1,1,0,1,0,0,0,0,55.62,61.56,66.2,0.33,0,0.44,0,1,40.37
4188,2,0,0,1,1,1,1,1,1,1,1,1,1,71.49,92.66,95.29,0.67,0,0.78,0,2,78.53
6863,2,1,0,1,0,0,0,1,1,0,0,0,0,65.51,79.74,83.77,1,1,1,1,2,62.51
1132,2,1,0,1,1,1,1,1,1,1,1,1,1,65.79,75.49,79.65,0.67,0,0.78,0,2,64.27
5566,2,0,0,0,0,0,1,1,0,0,0,0,0,49.29,72.73,71.49,0.33,0,0.56,0,1,42.77
2719,2,1,1,0,1,1,1,0,0,0,1,0,0,60.66,73.06,80.99,0.67,0,0.78,0,2,53.28
3770,2,1,0,0,0,0,0,0,0,0,0,0,0,63.45,79.19,86.07,0.33,0,0.33,0,1,49.23
5576,2,1,0,0,0,0,0,0,1,1,0,0,0,48.37,72.21,75.13,1,1,1,1,3,58.02
3549,2,1,0,0,0,0,0,0,1,1,1,0,0,56.53,66.92,65.77,1,1,0.78,0,2,47.96
3601,2,1,0,0,0,0,0,0,0,0,0,0,0,53.91,68.12,72,1,1,0.56,0,1,58.06
5879,2,1,0,1,1,1,1,1,1,1,1,1,1,65.56,87.34,89.02,1,1,0.89,0,3,65.32
3610,2,0,0,1,1,1,1,1,0,0,0,0,0,67.02,83.14,89.1,1,1,1,1,1,64.75
2903,2,1,0,1,0,0,0,0,0,0,0,0,0,62.66,75.52,76.39,0.33,0,0.11,0,1,44.39
1222,2,1,0,0,1,0,0,0,0,0,0,0,0,48.56,60.67,57.18,0.67,0,0.89,0,2,41.09
4363,2,1,1,0,1,0,0,0,1,1,1,1,1,58.37,75.94,80.11,1,1,0.78,0,1,57.01
