     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    59.660    73.010         *     0.998     0.000     0.002     0.000     1.000 2266
     1.000     0.000     1.000     1.000     1.000     0.000     0.000         *     0.000     0.000     0.000     1.000    55.170    64.780         *     0.000     0.921     0.064     0.015     2.000 6727
     1.000     1.000         *     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000    58.230    68.880    78.950     0.951     0.008     0.041     0.000     1.000 5719
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    75.930    93.140         *     0.998     0.000     0.002     0.000     1.000 2192
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    62.010    95.260         *     0.998     0.000     0.002     0.000     1.000 1289
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    53.210         *         *     0.000     0.003     0.044     0.954     4.000 3985
     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    53.060    65.840         *     0.000     0.285     0.313     0.402     4.000 2652
     1.000     1.000     1.000     1.000     1.000     1.000     1.000         *     1.000     1.000     0.000     1.000    53.940    62.470    64.480     0.996     0.000     0.003     0.000     1.000 5521
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000    59.790    74.510         *     0.172     0.638     0.190     0.000     2.000 5895
     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    42.230    59.330    45.500     0.000     0.033     0.022     0.945     4.000 2321
     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    60.530         *         *     0.000     0.750     0.219     0.031     2.000 6091
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000    71.910    88.870    91.450     0.819     0.022     0.159     0.000     1.000 1452
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    67.510    75.570         *     0.998     0.000     0.002     0.000     1.000 1686
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    66.670    85.730         *     0.001     0.973     0.025     0.000     2.000 3322
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    57.420    65.090         *     0.998     0.000     0.002     0.000     1.000 6164
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    60.570    52.070         *     0.998     0.000     0.002     0.000     1.000 1480
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    52.080    65.120    64.510     0.998     0.000     0.002     0.000     1.000 3207
