1	0	0	1	1	1	1	1	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	40.12	.	.	-0.141	0.002	0.006	0	0.001	0	0	0	0.007	0	0	0	0	0	0	0	-0.346	0.005	0.015	0	0.002	0	0	0	0.017	0	-0.001	0	-0.001	0	0	0	1.677	-0.022	-0.072	0.002	-0.012	0	0	0	-0.08	0.001	0.003	0	0.005	0	0	0	-0.074	0.001	0.003	0	0.001	0	0	0	0.004	0	0	0	0	0	0	0	6115
1	1	0	1	1	0	.	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	55.69	.	64.75	0.01	0	0	0	0.001	0	0	0	0.003	0	0	0	-0.055	0.001	0.002	0	-0.311	0.004	0.013	0	-0.039	0.001	0.002	0	-0.08	0.001	0.003	0	1.677	-0.022	-0.072	0.002	0.03	0	-0.001	0	0.004	0	0	0	0.008	0	0	0	-0.159	0.002	0.007	0	0.007	0	0	0	0.001	0	0	0	0.002	0	0	0	-0.04	0.001	0.002	0	3803
0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3	36.89	57.4	-0.007	0	-0.001	0.018	-0.001	0	0	0.002	-0.002	0	0	0.005	0.038	0.003	0.003	-0.095	0.215	0.015	0.017	-0.541	0.027	0.002	0.002	-0.068	0.055	0.004	0.004	-0.139	-1.161	-0.078	-0.091	2.915	-0.02	-0.001	-0.002	0.051	-0.003	0	0	0.006	-0.005	0	0	0.013	0.11	0.007	0.009	-0.277	-0.005	0	0	0.013	-0.001	0	0	0.002	-0.001	0	0	0.003	0.028	0.002	0.002	-0.07	4168
1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	.	0	0	49.28	31.45	.	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4618
1	1	1	1	1	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	44.11	.	.	-0.043	0.001	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	1.315	-0.018	-0.056	0.002	-0.009	0	0	0	-0.063	0.001	0.003	0	0.004	0	0	0	-0.125	0.002	0.005	0	0.001	0	0	0	0.006	0	0	0	0	0	0	0	-0.031	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	5374
1	0	1	1	1	1	0	1	.	0	1	1	1	1	1	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.	0	0	51.78	62.25	.	0.012	0	-0.001	0	-0.059	0.001	0.003	0	0.005	0	0	0	0.002	0	0	0	-0.365	0.005	0.016	-0.001	1.823	-0.024	-0.078	0.003	-0.159	0.002	0.007	0	-0.053	0.001	0.002	0	0.035	0	-0.001	0	-0.173	0.002	0.007	0	0.015	0	-0.001	0	0.005	0	0	0	0.009	0	0	0	-0.044	0.001	0.002	0	0.004	0	0	0	0.001	0	0	0	5353
1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	.	1	0	47.81	43.23	.	-0.043	0.001	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	1.315	-0.018	-0.056	0.002	-0.009	0	0	0	-0.063	0.001	0.003	0	0.004	0	0	0	-0.125	0.002	0.005	0	0.001	0	0	0	0.006	0	0	0	0	0	0	0	-0.031	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	4533
1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	49.73	61.09	67.63	-0.025	0.065	-0.006	-0.002	-0.003	0.008	-0.001	0	-0.006	0.017	-0.001	-0.001	0.136	-0.349	0.031	0.012	-0.062	0.159	-0.014	-0.005	-0.008	0.02	-0.002	-0.001	-0.016	0.041	-0.004	-0.001	0.333	-0.856	0.076	0.029	0.299	-0.769	0.069	0.026	0.038	-0.097	0.009	0.003	0.077	-0.198	0.018	0.007	-1.612	4.145	-0.37	-0.14	-0.013	0.034	-0.003	-0.001	-0.002	0.004	0	0	-0.003	0.009	-0.001	0	0.071	-0.183	0.016	0.006	2417
1	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	.	.	.	.	.	.	.	.	.	.	1	1	47.33	54.61	.	0.016	0	-0.001	0	0.009	0	0	0	-0.07	0.001	0.003	0	0.004	0	0	0	-0.485	0.006	0.021	-0.001	-0.285	0.004	0.012	0	2.147	-0.029	-0.092	0.003	-0.131	0.002	0.006	0	0.046	-0.001	-0.002	0	0.027	0	-0.001	0	-0.204	0.003	0.009	0	0.012	0	-0.001	0	0.012	0	0	0	0.007	0	0	0	-0.051	0.001	0.002	0	0.003	0	0	0	6901
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.	.	.	.	.	.	0	0	42.58	46.75	.	-0.286	0.004	0.012	0	-0.036	0	0.002	0	-0.073	0.001	0.003	0	1.539	-0.021	-0.066	0.002	0.007	0	0	0	0.001	0	0	0	0.002	0	0	0	-0.037	0	0.002	0	0.016	0	-0.001	0	0.002	0	0	0	0.004	0	0	0	-0.085	0.001	0.004	0	-0.001	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	3094
1	1	1	1	1	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	48.33	46.61	.	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1976
1	1	1	1	1	0	1	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	36.17	.	.	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2319
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	67.35	78.21	.	-1.065	-0.315	2.68	-0.158	0.007	0.002	-0.019	0.001	0.051	0.015	-0.128	0.008	-0.003	-0.001	0.008	0	0.026	0.008	-0.065	0.004	0	0	0	0	-0.001	0	0.003	0	0	0	0	0	0.059	0.017	-0.147	0.009	0	0	0.001	0	-0.003	-0.001	0.007	0	0	0	0	0	-0.004	-0.001	0.009	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	5373
0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	44.24	45.14	52.57	-0.043	0.001	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	1.315	-0.018	-0.056	0.002	-0.009	0	0	0	-0.063	0.001	0.003	0	0.004	0	0	0	-0.125	0.002	0.005	0	0.001	0	0	0	0.006	0	0	0	0	0	0	0	-0.031	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	1033
