    34.660    35.730    41.630    50.260         *         *     1.000     1.000    37.416     3.078    37.405     3.481     0.271     0.007     0.014     0.708     4.000
    51.710    53.550    64.210    63.470    57.600    67.220     0.000     1.000    51.262     2.663    51.119     2.693     0.002     0.052     0.000     0.947     4.000
    63.540    66.070    70.580    67.280    74.980         *     1.000     2.000    62.351     2.898    62.460     2.882     0.000     0.949     0.000     0.051     2.000
    43.590    53.990         *         *    62.400         *     0.000     3.000    48.433     3.409    48.364     3.434     0.011     0.041     0.000     0.948     4.000
    64.470    69.870    74.240    67.960    78.470         *     0.000     3.000    64.639     3.048    65.056     2.994     0.000     0.818     0.000     0.182     2.000
    50.430    53.700    57.840    51.850         *         *     1.000     1.000    49.262     2.286    48.643     2.628     0.107     0.195     0.001     0.697     4.000
    52.490    46.480    67.950    79.240         *         *     0.000     3.000    51.577     7.385    50.320     8.583     0.000     0.000     0.712     0.288     3.000
    52.040         *         *         *         *         *     0.000     3.000    52.442     3.056    51.953     3.066     0.071     0.167     0.017     0.745     4.000
    52.410    53.450         *         *         *         *     1.000     1.000    50.977     2.857    51.915     3.110     0.061     0.521     0.003     0.415     2.000
    36.570         *    45.830         *         *         *     1.000     2.000    39.926     2.716    39.137     1.676     0.510     0.008     0.040     0.442     1.000
    35.710    38.340         *    47.010    57.450    60.290     1.000     1.000    39.065     3.911    39.071     3.941     0.028     0.013     0.000     0.959     4.000
    54.290    51.440    61.970    65.460    68.930    68.790     0.000     3.000    53.546     3.487    53.453     3.453     0.000     0.258     0.000     0.741     4.000
    44.470    37.110    33.970    49.460         *         *     0.000     1.000    40.314     1.476    39.431     2.662     0.447     0.000     0.002     0.550     4.000
    48.020    47.170    60.060    55.660    52.840    55.030     1.000     2.000    47.629     2.025    47.438     2.167     0.172     0.016     0.000     0.813     4.000
    51.160         *         *         *         *         *     0.000     2.000    51.055     2.911    50.118     2.960     0.089     0.238     0.013     0.660     4.000
    45.760    48.950    57.910         *         *         *     0.000     1.000    47.341     3.326    47.029     3.191     0.026     0.212     0.015     0.746     4.000
    74.280    75.470    75.440    78.030    79.940    80.640     0.000     3.000    70.974     2.322    70.983     2.321     0.000     0.997     0.000     0.003     2.000
