"hispanic","Gender","LifeSat1","LifeSat2","LifeSat3","LifeSat4","LifeSatA","PYDI1Ab","PYDI2Ab","PYDI3Ab","PYDI4Ab","PYDI5Ab","PYDI6Ab","PYDI7Ab"
0,2,5,4,4,4,50,0,1,1,1,1,1,1
1,2,5,4,4,4,76,0,1,1,1,1,1,1
0,1,4,4,4,4,83,1,1,1,1,1,1,1
0,1,3,4,3,3,45,1,1,1,1,1,1,1
0,1,4,3,2,3,68,1,1,1,1,1,1,1
0,2,5,3,5,4,82,1,1,1,1,1,1,1
0,1,4,4,4,4,60,1,1,1,1,1,1,1
1,2,3,1,2,3,49,0,1,1,0,0,1,1
1,1,4,1,2,3,44,0,1,1,0,0,0,1
0,1,4,2,3,3,62,1,1,1,1,1,1,1
1,1,4,1,1,4,14,1,1,1,1,1,1,1
0,2,5,3,3,3,67,0,1,1,1,0,1,1
0,2,6,3,4,4,76,0,0,0,1,0,0,0
1,2,6,4,3,5,74,1,1,1,1,1,1,1
0,1,4,4,5,6,86,1,1,1,1,1,1,1
0,1,3,3,3,3,35,0,1,1,1,0,1,1
0,2,5,4,3,4,69,0,1,1,0,0,1,1
1,2,3,2,4,3,40,1,1,1,1,1,1,1
1,1,5,5,4,5,89,0,1,0,1,1,1,1
0,1,4,4,4,4,81,0,0,1,1,1,1,0
0,1,4,3,3,4,70,1,1,1,1,1,1,1
0,1,3,2,2,4,81,0,1,1,1,1,1,1
1,1,5,3,5,4,80,0,1,1,1,0,1,1
0,2,6,5,5,4,75,0,1,1,1,0,1,1
0,1,5,1,5,4,70,1,1,1,1,0,1,1
1,1,4,3,4,3,80,0,1,1,1,0,1,0
0,1,4,4,4,4,69,1,1,1,1,1,1,1
0,2,5,3,5,4,58,0,1,1,1,0,1,1
0,2,4,1,2,3,35,0,1,1,1,1,1,1
0,1,6,5,4,5,89,1,1,0,1,1,1,1
0,2,5,4,4,4,65,1,0,1,1,1,1,1
0,1,5,6,4,5,70,0,1,0,0,1,1,1
0,1,5,3,4,5,85,0,0,1,1,0,0,0
0,2,5,2,2,4,70,0,1,1,1,1,1,1
0,2,4,2,3,3,50,0,1,1,1,1,1,1
1,2,5,5,5,4,75,0,1,1,1,1,1,1
1,2,5,3,3,3,91,0,1,0,0,1,1,1
0,2,4,2,4,4,50,1,1,1,1,1,1,1
1,2,4,3,4,2,30,0,1,1,0,1,1,1
0,1,5,3,3,4,80,1,1,1,1,0,1,0
0,1,4,4,4,4,80,0,1,1,1,1,1,1
1,1,4,3,3,4,75,1,1,1,1,1,1,1
0,2,3,3,3,4,66,0,1,0,1,1,1,1
0,2,4,4,4,4,80,1,1,1,1,1,1,1
0,1,4,1,4,4,60,0,0,1,1,0,1,0
0,1,3,1,1,2,51,0,1,0,1,1,1,1
0,2,6,4,6,3,62,1,1,1,1,1,1,1
1,1,4,2,4,3,65,0,1,0,1,0,1,1
0,1,4,1,4,4,70,0,1,0,0,0,1,1
1,2,6,4,4,5,83,0,1,0,0,1,1,1
0,1,5,3,4,4,70,0,1,1,1,1,1,1
0,1,9999,5,5,5,72,1,1,1,1,1,1,1
0,2,4,3,4,4,70,0,0,0,1,1,1,1
0,1,4,4,4,4,50,1,0,0,1,1,0,1
1,2,5,3,4,4,85,0,1,1,1,1,1,1
0,2,4,1,3,3,45,0,1,1,0,0,1,1
0,1,6,4,5,4,70,0,1,0,1,1,1,1
0,1,5,5,4,5,90,1,0,1,1,0,1,1
0,1,5,4,5,6,70,0,1,1,1,0,0,0
0,5,4,3,5,4,50,1,1,0,1,0,1,1
0,2,6,5,5,5,90,0,0,1,1,1,1,1
0,1,5,3,5,4,72,0,1,0,1,1,1,1
0,1,5,4,4,4,84,0,1,1,0,1,1,1
0,1,4,3,2,4,71,0,1,1,1,1,1,1
0,1,4,3,3,4,73,1,1,0,1,0,1,1
0,1,5,4,5,5,83,1,0,1,0,0,1,1
0,1,5,3,4,4,77,1,1,1,1,1,1,1
1,1,5,4,4,4,71,0,1,1,1,1,1,1
0,1,4,3,3,4,72,1,1,0,1,1,1,1
0,2,4,3,4,4,65,0,1,0,1,1,1,1
0,1,5,3,5,4,65,0,1,1,1,1,1,1
0,1,5,5,5,4,9999,0,1,0,1,1,1,1
1,2,5,4,5,6,90,0,1,1,1,1,1,1
1,1,5,4,3,5,86,0,1,1,1,1,1,1
0,1,5,5,5,5,92,1,1,1,1,1,1,1
1,1,4,3,4,4,72,1,1,1,1,1,1,1
0,1,3,3,2,2,47,1,1,1,1,1,1,1
0,1,5,3,4,4,60,1,0,0,1,1,1,1
0,3,4,4,4,4,65,0,1,1,1,1,1,1
1,2,4,1,3,4,75,1,1,1,1,1,1,1
0,1,4,5,4,4,84,0,0,1,0,0,1,1
0,1,5,5,3,5,80,0,1,1,0,0,1,1
1,1,3,1,2,3,60,0,1,0,1,1,1,1
0,1,5,4,4,4,75,1,1,0,1,1,1,1
0,1,5,3,4,4,60,0,1,1,1,0,0,0
0,2,4,3,3,3,50,1,1,1,1,1,1,1
0,2,5,3,4,4,64,1,1,1,1,1,1,1
0,2,5,4,4,4,70,0,1,1,1,1,0,0
0,2,4,2,4,4,55,0,1,1,1,1,1,1
0,1,5,4,3,4,51,1,1,1,1,1,1,1
0,2,5,3,4,5,70,1,1,1,1,1,1,1
1,2,5,4,4,5,75,0,1,0,1,1,1,1
1,1,6,4,3,5,90,0,1,1,1,1,1,1
0,2,5,1,6,4,67,1,1,1,1,1,1,1
1,1,4,2,3,4,70,1,1,1,1,1,1,1
0,1,6,3,5,3,68,0,1,1,1,1,1,0
0,1,5,2,4,4,70,1,1,1,1,1,1,1
0,1,4,3,3,4,50,0,1,0,1,1,1,1
0,2,3,3,4,4,70,0,1,1,1,0,1,1
0,2,5,3,4,4,65,0,1,0,1,1,1,1
0,1,5,4,4,5,80,1,1,1,1,1,1,1
0,2,4,3,3,3,40,1,1,1,0,0,1,1
1,1,6,5,6,1,100,1,1,1,1,1,1,1
1,2,4,4,4,3,70,0,1,1,1,1,1,1
0,1,5,3,4,4,75,0,1,0,1,1,1,1
0,2,4,2,4,3,64,0,1,1,1,1,1,1
1,1,4,4,4,4,78,0,1,0,0,0,0,0
1,2,4,3,3,3,46,1,0,1,1,1,1,1
0,1,5,4,4,5,83,1,1,1,1,1,1,1
0,1,4,2,2,3,73,0,1,1,1,1,1,1
0,1,2,3,2,2,20,1,1,1,1,1,1,1
0,1,5,4,5,4,83,0,1,1,1,1,1,1
0,2,6,5,6,6,90,0,0,1,1,0,0,0
1,2,5,4,3,3,41,0,1,1,1,1,1,1
0,1,4,4,4,4,76,0,1,1,1,0,1,1
1,2,3,3,1,4,40,1,1,1,1,1,1,1
0,1,5,2,6,4,69,0,1,1,1,1,1,1
0,1,4,3,3,4,70,0,1,1,1,1,1,1
1,1,4,3,4,4,74,0,1,1,1,1,1,1
1,2,4,4,4,4,77,0,1,1,1,1,1,1
0,2,5,5,5,5,85,1,1,1,1,1,1,1
0,1,5,2,5,4,35,0,1,1,1,0,1,1
0,1,4,4,4,4,85,0,1,1,1,1,1,1
0,1,6,5,6,6,90,0,1,1,1,1,1,1
0,2,5,4,4,2,69,0,1,0,1,0,1,1
0,1,5,3,3,4,79,0,1,1,1,1,1,1
0,2,5,3,4,4,55,1,1,1,1,1,1,1
0,2,5,5,4,1,60,1,1,1,1,1,1,1
0,2,5,5,4,4,74,1,1,1,1,1,0,1
0,2,5,4,4,4,70,1,1,1,1,1,1,1
0,1,5,3,4,5,38,0,1,0,1,1,1,1
0,1,5,3,4,5,60,1,1,0,1,1,1,1
1,2,5,4,5,3,75,1,1,1,1,1,1,1
0,2,6,4,5,4,61,0,1,1,1,0,1,1
0,1,6,4,4,5,75,1,1,0,1,1,1,1
0,1,6,4,6,5,90,0,1,1,1,0,1,1
0,1,6,4,6,4,69,1,1,1,1,1,1,1
0,1,4,2,3,3,38,1,1,1,1,1,1,1
0,1,5,4,4,4,50,1,1,1,1,0,1,0
1,1,5,4,5,5,85,0,1,1,1,1,1,1
0,1,5,4,4,4,71,1,1,1,1,1,1,1
0,1,5,2,2,3,40,1,1,1,1,1,1,1
0,1,5,3,3,5,75,1,1,1,1,1,1,1
0,2,5,4,3,4,71,0,0,0,1,1,1,1
0,2,4,3,4,4,77,0,0,1,1,0,1,1
1,1,4,4,4,4,75,0,1,1,0,1,1,1
0,1,5,5,5,5,77,1,1,1,1,1,1,1
1,1,5,4,3,4,48,1,1,1,1,1,1,1
1,2,4,4,4,4,65,0,1,1,1,1,1,1
0,2,5,4,5,4,70,0,1,1,1,1,1,1
0,2,5,4,5,5,89,0,1,1,1,1,1,1
0,1,4,2,3,2,55,0,1,1,1,1,1,1
0,2,6,6,6,5,88,0,1,1,1,1,1,1
0,1,2,6,6,3,61,1,1,0,1,1,1,1
0,1,5,4,4,4,75,1,1,0,1,1,1,1
0,2,6,6,6,5,86,1,1,0,1,0,0,1
1,2,6,4,4,4,80,0,1,1,1,1,1,1
0,1,3,1,2,2,50,1,1,1,1,1,1,1
0,1,4,2,3,3,70,1,1,1,1,1,1,1
1,2,4,4,4,2,83,1,1,1,1,1,1,1
0,1,5,4,5,4,84,1,1,1,1,1,1,1
0,2,5,3,5,3,50,0,1,1,1,1,1,1
1,1,4,2,3,4,81,0,1,1,0,0,1,1
1,1,5,3,5,4,80,1,1,1,1,1,1,1
0,1,5,2,5,3,75,1,1,0,1,1,1,1
0,1,5,4,2,4,45,1,1,1,0,1,1,1
