0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3.5	0	0.003	0.997	3
1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	3	0	0.999	0.001	2
1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0.678	0.322	2
1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	3	1	0	0	1
1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	2.5	0	0.998	0.002	2
0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1.5	0	0.634	0.366	2
0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1.5	0	0.478	0.522	3
0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	2	1	0	0	1
1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	2	1	0	0	1
1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	2.5	1	0	0	1
0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	3.5	0	1	0	2
1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1.5	0	0.719	0.281	2
1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	2.5	1	0	0	1
1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3.5	0	0.415	0.585	3
1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	2.5	0	0.999	0.001	2
1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	2	1	0	0	1
1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0.986	0.014	2
0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	2.5	0	0.994	0.006	2
1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	3	0	1	0	2
1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1
1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1.5	0	0.993	0.007	2
0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2.5	0	0.153	0.847	3
1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	3.5	1	0	0	1
1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	2.5	0	0.997	0.003	2
1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	2.5	0	0.981	0.019	2
1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	3	0	1	0	2
0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1
1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	3	0	0.982	0.018	2
1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	4	0	0.999	0.001	2
0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	2.5	1	0	0	1
1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	3.5	1	0	0	1
1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1
1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1.5	0	0.315	0.685	3
1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	3.5	1	0	0	1
0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2.5	0	0.001	0.999	3
1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2.5	1	0	0	1
1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0.982	0.018	2
0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	3	0	0.007	0.993	3
1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	2.5	1	0	0	1
1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	2.5	0	0.979	0.021	2
1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.078	0.922	3
1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0.091	0.909	3
1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0.72	0.28	2
1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0.274	0.726	3
1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	3.5	0	0.935	0.065	2
0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3.5	0	0.003	0.997	3
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0.006	0.994	3
1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	3	1	0	0	1
0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	3.5	0	0.141	0.859	3
1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	3.5	1	0	0	1
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2.5	0	0.959	0.041	2
1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	3.5	0	0.999	0.001	2
1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	3.5	1	0	0	1
0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	2	1	0	0	1
1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	3	0	0.998	0.002	2
1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	3.5	0	0.993	0.007	2
1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	4	0	0.994	0.006	2
1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0.5	1	0	0	1
1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1
1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	3	0	0.866	0.134	2
0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	3	0	0.754	0.246	2
1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	3	0	0.884	0.116	2
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0.5	0	0.008	0.992	3
0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	2	0	0.995	0.005	2
1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	3.5	0	0.996	0.004	2
0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	4	1	0	0	1
