1	0	0	0	0	0	1	1	1	1	1	1	.	2	0	0	31.8494	0	101127
1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	.	101128
0	0	0	0	0	1	1	1	.	.	.	.	.	1	0	1	775.7066	0	101129
0	0	0	1	1	1	1	1	.	.	.	.	.	1	0	1	708.4777	1	101131
1	0	0	0	0	0	0	0	.	.	.	.	.	1	0	1	0	.	101132
0	0	0	0	0	0	.	0	.	.	.	.	0	1	1	1	0	.	101133
.	.	.	.	.	.	.	.	1	1	1	1	.	1	0	0	218.4957	0	101201
.	.	.	.	.	.	.	.	.	.	.	.	0	1	0	1	0	.	101203
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	215.0544	0	101207
.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	0	.	101209
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	214.88	1	101210
.	.	.	.	.	.	.	.	.	.	.	.	.	2	0	1	172.3952	0	101211
.	.	.	.	.	.	.	.	.	.	.	.	0	1	0	1	246.7952	.	101212
1	0	1	.	.	.	.	.	.	.	.	.	0	2	0	1	221.5542	0	101214
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	0	.	101215
0	0	0	1	1	1	1	1	.	.	.	.	0	2	1	1	0	.	101217
0	0	0	0	0	.	.	.	.	.	.	.	.	2	0	1	169.4561	0	101219
1	1	1	1	1	.	.	.	.	.	.	.	.	2	1	1	209.4799	0	101221
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	608.2185	0	101222
.	.	.	.	.	.	.	.	.	.	.	.	.	2	0	1	226.3635	0	101223
0	0	0	0	0	0	0	.	.	.	.	.	.	1	0	1	0	.	101226
.	.	.	.	.	.	.	.	.	.	.	.	0	1	0	1	235.6428	1	101227
0	0	1	1	1	1	1	1	.	.	.	.	.	1	1	1	45.0328	0	102101
0	0	1	1	1	1	1	1	.	.	.	.	.	2	0	1	276.7414	1	102103
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	300.3896	0	102104
.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	310.2792	0	102105
0	1	1	1	1	1	1	1	1	1	1	1	.	2	0	0	38.5349	0	102106
