AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N1,N2,N3
1,0,0,1,1,0,0,0,9999,0,0,0,0,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,61.7,53.35,72.73,60.65,1,0,58.21,70.89,9999,4491,0,0.101,0.042,0.856,4,2,9999
1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,67.83,61.02,82.83,70.31,1,0,59.35,80.96,93.3,5202,0.001,0.002,0.133,0.864,4,3,3
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,56.64,54.64,9999,65.41,0,0,46.69,72.37,9999,3171,0.04,0,0.08,0.88,4,4,9999
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,0,59.66,73.01,9999,2266,0.851,0,0.077,0.072,1,1,9999
1,1,0,1,1,0,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,70.9,69.81,9999,9999,0,0,69.87,9999,9999,2534,0,0.001,0.034,0.965,4,9999,9999
1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.62,42.43,68.66,64.73,1,0,55.17,64.78,9999,6727,0.001,0.001,0.094,0.904,4,4,9999
1,1,1,1,1,1,1,1,0,1,1,1,9999,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,64.08,65.62,71.14,74.09,0,0,58.23,68.88,78.95,5719,0.969,0,0.025,0.006,1,1,1
1,1,1,1,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,9999,63.12,9999,9999,0,0,48.12,9999,9999,2914,0.969,0,0.025,0.006,1,9999,9999
1,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.26,59.02,9999,9999,1,0,54.6,9999,9999,6414,0,0.991,0.007,0.003,2,9999,9999
1,1,1,0,1,0,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,1,0,1,1,1,1,1,1,0,0,0,54.43,55.67,9999,9999,1,0,54.41,9999,9999,3988,0.05,0,0.576,0.373,3,9999,1
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,74.52,74.23,9999,9999,0,0,75.93,93.14,9999,2192,0.381,0,0.604,0.015,3,1,9999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,67.57,83.26,9999,9999,0,0,62.01,95.26,9999,1289,0.997,0,0.003,0,1,1,1
0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,34.34,31.81,9999,9999,0,0,38.07,9999,9999,1462,0,0.997,0.003,0.001,2,9999,9999
1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,60.88,59.23,70.51,9999,1,0,53.06,65.84,9999,2652,0,0,0.005,0.995,4,2,9999
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,9999,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,59.15,53.94,75.28,66.17,1,0,53.94,62.47,64.48,5521,0,0,0.005,0.995,4,1,2
