     0.000     0.000     0.000     0.000     0.000     0.000     3.000    65.660     3.000     2.000     2.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     0.000     1.000     0.000     4.000         *     2.000     3.000     3.000     2.000     0.000     0.801     0.157     0.042     0.000     1.000
     1.000     0.000     1.000     0.000     1.000     0.000     5.000         *     2.000     2.000     2.000     2.000     0.000     0.178     0.476     0.347     0.000     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     2.000    58.820     2.000     2.000     2.000     2.000     0.000     0.037     0.961     0.000     0.002     2.000
     1.000     0.000     0.000     0.000     0.000     1.000     2.000    57.450     2.000     2.000     2.000     2.000     1.000     0.000     0.173     0.000     0.827     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000    68.930     3.000         *     3.000     3.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     3.000    52.840     1.000     2.000     2.000     1.000     1.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    79.940     3.000     3.000     2.000     3.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000    64.650     3.000     3.000     3.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     0.000     0.000     1.000     2.000    64.940     3.000     2.000     2.000     3.000     0.000     0.037     0.961     0.000     0.002     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    66.370     2.000     2.000     3.000     2.000         *     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     0.000     1.000     0.000     5.000    80.550     3.000     3.000     3.000     2.000     0.000     0.801     0.157     0.042     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000         *         *     1.000     1.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     1.000     1.000     0.000     0.000     1.000     2.000    70.590     1.000     2.000     1.000     1.000     0.000     0.006     0.979     0.000     0.015     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    52.750     1.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000    82.850     2.000     2.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     0.000     0.000     1.000     1.000     1.000    69.150     2.000     2.000     2.000     2.000     1.000     0.001     0.192     0.808     0.000     3.000
     1.000     0.000     0.000     0.000     0.000     1.000     3.000    56.750     2.000     3.000     3.000     2.000     0.000     0.000     0.173     0.000     0.827     4.000
