1101	1	204	2	3	5	58.09	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	.	0	0
1102	1	247	2	3	1	68.58	0	0	0	0	0	1	2	2	3	2	3	3	2	2	3	.	0	0
1103	2	308	1	2	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1104	2	120	1	3	2	73.24	0	1	1	0	0	2	2	2	2	2	2	2	2	2	2	3	1	0
1105	1	206	1	3	1	67.94	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1106	1	218	2	3	.	48.83	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	.	0	0
1107	1	235	1	3	3	72.04	.	.	.	.	.	2	2	2	2	2	2	2	3	2	2	.	1	0
1108	2	131	1	3	4	70.79	.	.	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	0
1109	1	308	1	2	1	50.9	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	.	1	1
1110	1	204	1	3	4	60.38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1111	1	223	2	3	2	52.23	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	.	0	0
1112	2	118	1	3	2	64.19	1	0	1	0	0	1	2	2	3	2	2	2	2	1	1	2	1	0
1113	1	308	1	2	1	40.85	0	1	1	0	1	2	2	1	2	2	3	2	3	2	1	.	1	1
1114	1	215	1	3	2	71.23	1	1	1	1	1	2	3	1	1	1	2	2	3	2	1	.	1	0
1115	1	215	1	3	4	54.65	0	0	1	0	0	2	2	2	2	2	2	2	2	2	2	.	1	0
1116	2	103	2	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1117	1	204	1	3	3	74.54	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1118	1	302	1	5	2	58.36	0	0	0	0	0	1	1	1	1	2	2	1	2	1	1	.	1	1
1119	1	240	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1120	1	309	2	3	4	63.12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1121	1	203	2	1	2	.	0	1	1	0	1	1	1	1	2	1	1	1	1	1	1	.	0	1
1122	1	221	2	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1123	2	139	2	3	3	71.34	1	0	1	0	0	2	3	.	3	2	2	3	2	2	2	3	0	0
1124	2	115	2	3	4	80.57	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1125	1	244	2	3	2	83.65	1	1	1	1	1	2	3	3	3	2	2	3	2	2	2	.	0	0
1126	2	126	1	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1127	2	117	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1128	1	302	2	3	2	71.19	0	0	0	0	0	1	1	1	1	1	1	2	1	2	1	.	0	0
1129	2	122	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1130	1	230	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1131	1	302	2	3	2	73.37	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1132	2	115	1	3	2	80.97	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	3	1	0
1133	1	224	2	.	2	.	0	0	0	0	0	1	1	1	1	1	2	3	1	1	2	.	0	.
1134	2	127	2	3	4	72.14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1135	2	307	2	3	2	61.44	1	0	1	1	1	3	3	3	3	3	1	3	3	3	3	3	0	0
1136	1	214	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1137	2	138	1	.	2	66.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.
1138	2	124	2	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1139	1	220	1	3	2	53.68	1	1	1	0	0	2	2	2	1	3	2	3	3	2	2	.	1	0
1140	2	128	2	3	4	79.76	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	0	0
1141	1	223	2	3	1	38.75	1	1	1	1	0	2	2	2	2	2	2	3	2	3	3	.	0	0
1142	2	119	2	3	2	64.23	1	1	1	1	1	3	3	2	2	3	2	3	2	3	2	3	0	0
1143	1	303	2	1	1	51.36	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	.	0	1
1144	2	120	2	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1145	2	303	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1146	2	301	2	3	3	74.12	1	0	0	0	0	2	1	2	1	3	2	1	2	3	1	2	0	0
1147	1	234	2	3	2	67.68	1	1	1	1	1	1	2	2	3	1	2	3	2	1	2	.	0	0
1148	1	217	1	3	2	.	0	1	0	0	1	2	2	1	2	2	2	3	3	2	1	.	1	0
1149	2	307	1	3	1	63.61	1	0	1	0	0	2	1	2	2	2	1	1	2	2	1	1	1	0
1150	2	147	1	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1151	2	309	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1152	2	114	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1153	2	117	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1154	1	218	1	3	2	64.84	1	0	1	0	1	2	2	1	2	2	3	2	2	2	2	.	1	0
1155	2	141	2	3	2	57.6	1	0	0	1	0	1	2	2	2	2	2	2	2	3	3	2	0	0
1156	1	232	1	3	1	48.27	0	0	0	0	0	2	2	1	2	2	2	2	3	2	2	.	1	0
1157	1	303	1	3	2	66.6	1	1	1	0	0	2	2	1	3	3	1	2	3	1	2	.	1	0
1158	2	303	1	3	2	74.98	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
1159	2	110	2	3	2	62.4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1160	1	241	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1161	1	303	2	3	2	79.78	1	0	0	1	1	2	3	1	3	2	2	2	2	2	2	.	0	0
1162	1	309	2	1	2	43.63	.	.	.	.	.	2	2	2	.	2	2	2	2	2	2	.	0	1
1163	2	140	2	3	3	78.47	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1164	1	238	2	3	2	65.23	1	0	0	0	0	2	2	1	1	2	2	2	2	1	1	.	0	0
1165	2	140	1	3	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1166	1	234	2	4	3	65.66	0	0	0	0	0	2	3	1	2	1	2	2	1	2	1	.	0	0
1167	2	142	2	3	4	.	1	1	1	0	1	2	2	1	3	3	2	3	2	3	2	3	0	0
